name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Zen-East in the Heart of Austin (monthly rental),Entire home/apt,179,7,24,0.17
Eco friendly  Colorful  Clean  Cozy monthly share,Private room,114,30,9,0.06
Walk to 6th  Rainey St and Convention Ctr,Entire home/apt,95,2,536,3.79
Soco  Barton Springs Private Guest Cottage,Entire home/apt,46,30,20,0.14
NW Austin Room,Private room,39,1,257,2
Gem of a Studio near Downtown,Entire home/apt,99,30,113,0.86
Secluded Studio at Barton Springs,Entire home/apt,139,3,232,2.09
Quiet Mid Century Modern Retreat with Patio and Yard.,Entire home/apt,205,1,108,1.15
Close in Hill country views NW,Entire home/apt,155,30,10,0.08
Garage Apartment near S Congress,Entire home/apt,50,31,37,0.29
Private Clarksville 2-1,Entire home/apt,125,2,164,1.27
Lovely Central Austin Bungalow & Studio,Entire home/apt,117,7,34,0.27
South Austin Comfort,Entire home/apt,55,1,9,0.07
furnished bedroom and full bath,Private room,38,30,38,0.58
Tiny Tarrytown Apartment,Entire home/apt,53,2,158,1.96
OUTDOOR LIVING IN AUSTIN  TX,Entire home/apt,350,2,30,0.26
Sunny Central Austin Apartment,Entire home/apt,89,2,378,3.1
Cozy Home in  N. Austin for Longer Stays,Private room,34,30,4,0.21
Scooby Doo House,Entire home/apt,117,30,30,0.25
STUDIO IN SOCO.  BEST LOCATION!,Entire home/apt,150,2,174,1.49
Zilker Park  Fun  Funky  Colorful  Peaceful Haven,Entire home/apt,83,1,689,5.77
Hyde Park Flat - Bamboo Floors,Entire home/apt,53,2,503,4.24
Colorful and Quirky Zilker Park Townhouse,Entire home/apt,263,2,111,0.96
Enchanting Zilker Cottage~Downtown,Entire home/apt,159,2,390,3.34
Live Beneath Live Oaks in a Bright  Intimate House,Entire home/apt,190,2,441,3.76
South 1st Garage Apartment - Ideally Central,Entire home/apt,225,2,30,0.8
1 Bedroom Apt; Above the Studio,Entire home/apt,150,2,143,1.22
Private  Super Cool  and very Close In,Private room,225,3,38,0.33
Architect Designed - Great Location,Entire home/apt,470,2,40,0.34
Detached Central Cottage with Bikes!,Entire home/apt,85,3,352,3.01
10 Minutes to Apple and eBay,Private room,49,3,17,1.12
3BR Convenient Gated Townhome w/ Pool Access!,Entire home/apt,210,2,26,0.22
Simple 2/2 in Central Austin,Entire home/apt,112,30,47,0.4
Private Guest House 78704,Entire home/apt,93,2,209,1.8
South Shore Condo on Lady Bird Lake,Entire home/apt,125,2,270,2.31
