name,room_type,price,minimum_nights,number_of_reviews
Walk to stores/parks/downtown. Fenced yard/Pets OK,Entire home/apt,80,30,89
Cottage! BonPaul + Sharky's Hostel,Entire home/apt,93,1,271
Mixed Dorm  Top Bunk #1  at BPS Hostel,Shared room,30,1,280
Historic Grove Park,Private room,125,30,58
Terrace Cottage,Entire home/apt,134,7,56
Blue Gate West,Private room,48,1,137
Asheville Dreamer's Cabin,Private room,68,3,57
Private  peaceful  and free goat therapy,Entire home/apt,71,7,537
The Fern Street Apt near Biltmore,Entire home/apt,50,90,32
Refocus Cottage - paradise,Entire home/apt,289,30,24
Athena's Loft:  Find yourself here!,Entire home/apt,78,4,499
Luxurious Mountain Guest Suite Apartment,Entire home/apt,125,2,40
8 min Walk to DT AVL! Hip  Chic  CLEAN & Charming.,Entire home/apt,134,3,296
Romantic  Moroccan-Influenced Cottage,Entire home/apt,131,2,477
Walk Downtown private bath peaceful,Private room,92,2,341
Urban Getaway - Perfect Location,Entire home/apt,50,30,130
Dwntwn Studio w/ lots of character,Entire home/apt,97,30,352
Comfy/quiet West Asheville getaway,Entire home/apt,74,2,185
The birdhouse.Sweet suite! Downtown Roof top deck!,Entire home/apt,162,30,73
Private Asheville Cabin Apartment,Entire home/apt,175,3,30
Private Home 1 mile to downtown,Entire home/apt,91,1,466
Lovely mountain home with a view!,Private room,42,2,188
Private  Downtown & River Arts,Private room,55,1,976
#2 Blue Ridge Room at Oakland Cottage B&B,Private room,169,2,8
Asheville Mountain Vista 3mi to Downtown Asheville,Entire home/apt,305,3,31
Come Home in West Asheville!,Entire home/apt,95,1,100
❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,Entire home/apt,246,2,387
Town and Mountain Peaceful Retreat,Entire home/apt,183,2,111
Sunset Cottage - year round views  3 mi to DT AVL,Entire home/apt,191,3,14
Asheville artist  bungalow. 3 minutes to downtown,Private room,55,2,126
West A'ville sanctuary in the trees,Entire home/apt,95,3,631
Comfy Home in W.AVL - Last minute booking 10% OFF,Entire home/apt,144,2,10
 ZenShe  Private Guest Quarters and Entrance,Private room,59,2,496
Asheville Cottage  Walk To Town  30 Days,Entire home/apt,271,3,113
Montford Home 1.5 mi to DownTown,Entire home/apt,145,3,160
Urban Peace 5 ml from Downtown AVL,Entire home/apt,151,2,163
The Cottage In Asheville,Entire home/apt,130,30,80
The Cottage on Parkway Loop,Entire home/apt,100,2,204
Blend City and Country at Lucky W Cottage,Entire home/apt,152,2,485
Modern Meets Zen  Rest & Restore - West Asheville,Private room,66,2,272
Sunny  Walkable W.AVL - 5  min drive to downtown,Entire home/apt,105,2,103
Downtown Get Around #1,Entire home/apt,90,30,258
Kickback  Relax in a Private Suite with a Simple Breakfast,Private room,95,2,181
Lovely  peaceful mountain retreat,Entire home/apt,57,2,103
Mid Century Modern Basement Apt..,Entire home/apt,84,3,82
West Asheville Townhouse,Private room,50,1,554
Explorers Retreat Near Downtown Asheville,Entire home/apt,201,3,35
