name,room_type,price,minimum_nights,number_of_reviews
Zen-East in the Heart of Austin (monthly rental),Entire home/apt,179,7,24
Eco friendly  Colorful  Clean  Cozy monthly share,Private room,114,30,9
Walk to 6th  Rainey St and Convention Ctr,Entire home/apt,95,2,536
Soco  Barton Springs Private Guest Cottage,Entire home/apt,46,30,20
NW Austin Room,Private room,39,1,257
Gem of a Studio near Downtown,Entire home/apt,99,30,113
Secluded Studio at Barton Springs,Entire home/apt,139,3,232
Quiet Mid Century Modern Retreat with Patio and Yard.,Entire home/apt,205,1,108
Close in Hill country views NW,Entire home/apt,155,30,10
Garage Apartment near S Congress,Entire home/apt,50,31,37
Private Clarksville 2-1,Entire home/apt,125,2,164
Lovely Central Austin Bungalow & Studio,Entire home/apt,117,7,34
South Austin Comfort,Entire home/apt,55,1,9
furnished bedroom and full bath,Private room,38,30,38
Tiny Tarrytown Apartment,Entire home/apt,53,2,158
OUTDOOR LIVING IN AUSTIN  TX,Entire home/apt,350,2,30
Sunny Central Austin Apartment,Entire home/apt,89,2,378
Cozy Home in  N. Austin for Longer Stays,Private room,34,30,4
Scooby Doo House,Entire home/apt,117,30,30
STUDIO IN SOCO.  BEST LOCATION!,Entire home/apt,150,2,174
Zilker Park  Fun  Funky  Colorful  Peaceful Haven,Entire home/apt,83,1,689
Hyde Park Flat - Bamboo Floors,Entire home/apt,53,2,503
Colorful and Quirky Zilker Park Townhouse,Entire home/apt,263,2,111
Enchanting Zilker Cottage~Downtown,Entire home/apt,159,2,390
Live Beneath Live Oaks in a Bright  Intimate House,Entire home/apt,190,2,441
South 1st Garage Apartment - Ideally Central,Entire home/apt,225,2,30
1 Bedroom Apt; Above the Studio,Entire home/apt,150,2,143
Private  Super Cool  and very Close In,Private room,225,3,38
Architect Designed - Great Location,Entire home/apt,470,2,40
Detached Central Cottage with Bikes!,Entire home/apt,85,3,352
10 Minutes to Apple and eBay,Private room,49,3,17
3BR Convenient Gated Townhome w/ Pool Access!,Entire home/apt,210,2,26
Simple 2/2 in Central Austin,Entire home/apt,112,30,47
Private Guest House 78704,Entire home/apt,93,2,209
South Shore Condo on Lady Bird Lake,Entire home/apt,125,2,270
Clean Cottage Apt In Tarrytown for work or live,Entire home/apt,100,2,309
Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,Entire home/apt,174,2,203
Upstairs Flat in Central Austin,Entire home/apt,100,2,178
EastSideLavishness- A Stay of Comfort and Joy,Entire home/apt,588,2,142
Comfy Digs in East Austin,Entire home/apt,400,2,16
The Travis Heights Tree House,Entire home/apt,80,20,41
Retro 60's Home Walk to Zilker Yard,Entire home/apt,175,2,16
Sweet South Austin Spot,Entire home/apt,149,2,22
Beautiful Home on Austin Greenbelt near Downtown,Entire home/apt,190,2,4
Modern Gem featured by Dwell. Pool + HotTub.,Entire home/apt,750,3,90
Downtown Luxury Home/ Clean/ PERFECT LOCATION,Entire home/apt,240,1,6
Living the Dream on Richardine,Private room,65,1,1
Nice Room Great House near Zilker,Private room,125,2,75
Cool Hyde Park efficiency apartment,Entire home/apt,109,2,338
Beautiful Zilker Park Condo next to Downtown!,Entire home/apt,104,2,139
