name,room_type,price,minimum_nights,number_of_reviews
HARBORSIDE-Walk to subway,Entire home/apt,150,28,17
**$49 Special **   Private! Minutes to center!,Entire home/apt,145,3,107
$99 Special!! Home Away! Condo,Entire home/apt,169,3,115
Bright 1bed facing Golden Dome,Entire home/apt,81,91,32
"Back Bay Apt-blocks to subway, Newbury St, The Pru",Entire home/apt,87,28,10
North End (Waterfront area)  CLOSE TO MGH & SUBWAY,Entire home/apt,73,28,2
Back Bay studio apartment,Entire home/apt,75,91,0
Small Room in Cambridge Kendall MIT,Private room,50,91,0
The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,Entire home/apt,129,32,52
Copley House - Premium Studio,Private room,135,1,21
Private room & bath - Jamaica Plain,Private room,85,56,77
Gorgeous Garden Studio Charlestown,Entire home/apt,125,3,130
Corner 1 bed facing Golden Dome,Entire home/apt,85,91,44
Entire two-bedroom apartment near Longwood,Entire home/apt,100,28,120
Waterfall Room: Bunker Hill B&B,Private room,140,2,54
$99* SPECIAL* 2 bed ApT! Location!,Entire home/apt,231,3,228
Stylish + Comfortable Urban Victorian,Entire home/apt,88,2,149
Great 2BR in Boston near everything w free parking,Entire home/apt,119,91,106
In-Law Suite w/Room to Spare :-),Entire home/apt,42,7,70
"Great Boston neighborhood , Jamaica Plain",Private room,50,30,44
Serene Studio in a Perfect Location,Entire home/apt,106,4,389
Treetop Haven in the City,Entire home/apt,93,3,197
Private room off the Freedom Trail.,Private room,145,3,251
BOSTON LUXURY FOR LESS!! NEAR BCEC,Entire home/apt,257,2,335
"Near Hospitals, 28 Day Bking Only,OutdoorSpace",Entire home/apt,225,28,409
Private Room in Spacious Apartment1,Private room,60,91,24
"Sweet Little House in JP, Boston",Private room,71,7,313
"Private Floor, Private Bath, City Location",Private room,173,91,16
"Great location, sunny 1-bedroom!",Entire home/apt,102,180,9
The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,Entire home/apt,206,29,67
The Sawyer RedLine | 2BR 2.5BA | 1st Floor unit on Redline to Mass General and BMC!,Entire home/apt,139,32,53
The Penthouse Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,Entire home/apt,113,32,56
The Sky View Redline | 3BR 1BA | Mass General and Boston Medical!,Entire home/apt,103,32,60
The Mayhew Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,Entire home/apt,113,32,53
"Boston Beauty, Walk to C and B line",Entire home/apt,149,91,20
"The Alameda 2 Commuter Rail | 2BR 1BA | Brookline Area, free parking near Faulkner!",Entire home/apt,129,32,38
Houseboat in Boston Harbor,Entire home/apt,265,2,38
Getaway in Historic Charlestown,Entire home/apt,175,91,168
1 Bed in Charming Southie Townhouse near BCEC,Private room,190,1,7
Spacious 1 bed facing State House,Entire home/apt,85,91,20
Boston / Charlestown Apartment,Entire home/apt,182,2,374
Unique Find: At Home in the City!,Entire home/apt,571,3,70
AVAILABLE NOW: Private room & shared bath,Private room,25,91,5
6 miles away from downtown Boston!,Private room,55,91,142
Room for rent in shared apartment,Private room,35,91,2
"★Discounted★ NearHospitals★2floors★ 2 Baths,2beds",Entire home/apt,395,28,418
*$89 Special!  BOSTONS BEST!!* Minutes to Center*,Entire home/apt,169,3,57
$79 Special!!  Minutes to Center!  Private Space,Entire home/apt,149,3,54
"Modern Loft, 1700 SqFt. Location!",Entire home/apt,425,2,78
Private Room in Spacious Apartment3,Private room,79,91,7
Private Room in Spacious Apartment2,Private room,61,91,26
"Perfect & Practical Boston Rental (1,000+ sqft)",Entire home/apt,189,10,80
"Roof deck-city views. Walk everywhere! 2BR, 2 bath",Entire home/apt,385,2,9
GORGEOUS WATER FRT NORTH END STUDIO,Entire home/apt,95,2,419
Private room in house,Private room,90,30,59
Upgraded South End Condo w/ Large Patio & Grill,Entire home/apt,175,1,7
Convenient Boston Hotel Alternative,Entire home/apt,95,4,95
"Boston Center, Sleeps 1 to 4 people",Entire home/apt,257,91,60
The Upton Boston - The Dalton,Entire home/apt,135,3,54
✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,Private room,192,3,293
Urban Treehouse,Private room,120,1,85
"Cozy apartment, free parking, quiet neighborhood",Entire home/apt,107,1,24
"Easy access to Airport, Downtown, Seaport. Fenway",Entire home/apt,174,2,87
Spacious 1 bdrm in Beacon Hill,Entire home/apt,160,91,8
Cozy JP Studio-Great Location!,Entire home/apt,135,2,327
"Studio Apt. for Rent in South End,",Entire home/apt,176,91,0
QuietStreetHynesConventionCtr-5min-Lge Rm-Pvt Bath,Private room,102,3,166
ExclusiveBackBayBostonCtr-Pvt Bath&Rm-Comfy Bed,Private room,105,3,117
Duplex Penthouse in Longwood Area,Entire home/apt,90,91,32
4 bedroom Victorian Condo unit,Entire home/apt,448,2,76
Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费。。,Private room,70,28,209
Two-level living with outdoor patio,Entire home/apt,102,28,0
Long-term Rental: Single Room/Sh Bath/No Cooking,Private room,26,91,8
Private Room in a One Family House,Private room,99,1,249
Entire loft in Boston,Entire home/apt,136,91,28
"Cozy, 2 bdr,  2 baths, house near medical area!",Entire home/apt,121,5,15
Beacon Hill 1-Bed,Entire home/apt,207,91,65
The Upton Boston - The Washington,Entire home/apt,155,2,48
Historic Beacon Hill,Entire home/apt,425,91,23
Modern 2 BR in Brighton with Parking,Entire home/apt,95,3,264
1BR in Charming South Boston Condo/Red Line/Beach,Private room,66,91,31
"Authentic Boston, cozy room",Private room,65,28,41
"Real Boston, off the beaten track",Private room,67,28,38
Big Boston room,Private room,70,28,19
Historic brick Victorian row house,Private room,350,91,25
Bright Sunlit bedroom near Spaulding/Downtown,Private room,49,28,105
Inviting Queen Anne Victorian,Private room,100,1,311
Cozy Private Room Near Transit,Private room,85,2,167
Room with Sleeper Sofa Bed,Private room,60,1,45
Beautiful Studio 15 min to Downtown,Entire home/apt,109,5,39
Charming Historic Home in Charlestown,Entire home/apt,350,3,14
"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",Entire home/apt,80,2,123
3-story Luxury in Central Location,Entire home/apt,200,28,139
"Fort Hill Top - 2Bk Private room,  brick townhouse",Private room,49,60,20
Large Private bedroom by Seaport,Private room,86,1,260
Room in Rozzie-Twin Bed-Full Bath,Private room,58,28,37
"Sunny, welcoming 2 - bedroom condo in Boston",Entire home/apt,100,3,47
Urban oasis trendy JP 'hood - suite,Entire home/apt,145,2,213
Quiet Sunlit Attic Studio,Entire home/apt,108,30,7
Charming sunlit house in Boston,Entire home/apt,120,28,43
king sized bed/ Private room in a spacious condo,Private room,60,1,126
Queen in Arts & Crafts Bungalow,Private room,49,1,69
Room for 2 in Rozzie - Full Bath,Private room,69,28,37
3Bed/2.5Bath Luxury Triplex South End's Union Park,Entire home/apt,890,4,42
Back Bay Elegance in Brighton,Private room,99,1,302
"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",Entire home/apt,265,91,2
Queen Size Four Poster Bed,Private room,100,1,211
Perfect location in Fenway - washer/dryer & WIFI,Entire home/apt,169,29,6
Private Apartment- Minutes from T!,Entire home/apt,117,1,530
Beautiful Penthouse in Beacon Hill,Entire home/apt,239,91,1
1 room with queen bed in Boston...,Private room,76,91,5
"Beautiful 3 bd- 1.5 bath with parking, in Boston.",Entire home/apt,599,91,105
"Sea view,balcony,15min by metro to center,safe st",Private room,70,91,143
One Private Bedroom in J.P.,Private room,120,91,38
1 bedroom and private bathroom,Private room,67,3,224
Spacious Updated 2 Bed Boston Condo w/ Deck,Entire home/apt,650,1,8
Great location! Modern 2BD 2 BA w/Parking,Entire home/apt,264,2,199
Back Bay Studio,Entire home/apt,70,91,34
Nice little studio Apt w/Parking,Entire home/apt,45,91,16
"Studio, w kitchenette, in owner's Beacon Hill home",Entire home/apt,145,5,105
Modern 2Bd1BA in Downtown Boston,Entire home/apt,300,91,7
Historic Boston North End Condo,Entire home/apt,195,91,169
I bdrm in Boston/Allston/Brookline,Entire home/apt,125,30,48
The Upton Boston - The Clare Suite,Entire home/apt,150,5,31
Sunny Private Room & Bath in JP: Breakfast+Parking,Private room,112,2,182
Sparkling New 2BR / 2BA in Back Bay,Entire home/apt,316,10,178
Modern South End Pied a Terre | 1BR 1BA,Entire home/apt,144,28,88
Light-filled Private Suite on Beautiful Street,Entire home/apt,149,2,130
* Brownstone Classic South End,Entire home/apt,119,2,409
Sunny Beacon Hill private 1 bedroom,Entire home/apt,90,91,35
Beacon Hill 1 bedroom apartment,Entire home/apt,90,91,0
The Upton Boston - The Upton,Entire home/apt,135,4,29
Charming comfort 1 BR / Studio,Entire home/apt,52,91,14
Cozy room in a charming villa.,Private room,40,2,41
"Beautiful Boston NEnd spacious & Light 2Bd, 1BA-2D",Entire home/apt,160,28,144
"Modern loft, walk to subway",Private room,85,91,12
Charlesview Suites Back Bay,Entire home/apt,280,3,77
Lofty Modern 2BD Apt 800 sq ft,Entire home/apt,200,2,26
South End Chic,Entire home/apt,160,91,5
Perfect Location to Explore Boston,Entire home/apt,150,180,100
Boston's Most Historic District!,Entire home/apt,149,91,52
"""Tranquility"" on ""Top of the Hill""",Private room,85,91,75
3BR / 2BA + Prvt Deck in Back Bay,Entire home/apt,425,6,184
BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,Entire home/apt,229,2,93
Luxury Sunny Hill Garden Townhouse Suite 1,Entire home/apt,600,28,14
Garden Oasis #1,Private room,95,91,27
"224 Tremont St. 3C · Large Studio, building door knobs cleaned daily",Entire home/apt,62,10,197
2bd APT 20min from Downtown Boston,Entire home/apt,89,91,33
Very Short Walk to the Red Line!,Private room,40,30,7
