name,host_id,room_type,price,minimum_nights,number_of_reviews
Private house close to the beach!,275948,Entire home/apt,146,2,41
2 bd/2ba Oceanfront Condo,351303,Entire home/apt,100,30,7
MARY POP APTS 2/1 APT SLEEP 5,454736,Entire home/apt,99,7,20
GREAT STUDIO FEW BLOCKS TO THE BEACH,474053,Entire home/apt,69,3,55
House in the Ranches,532930,Entire home/apt,235,4,5
MIAMI - LUXURY APARTMENT OVER BEACH,637272,Entire home/apt,250,20,20
MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Entire home/apt,250,18,30
"CODY PLACE 
15 minutes from the Beach and Stadium",881264,Entire home/apt,199,15,10
Tropical Beach Paradise Awaits You,924482,Entire home/apt,119,2,25
The Ultimate Family Vacation Home  w/Dual Masters!,964836,Entire home/apt,275,2,45
COSY APT OVER THE BEACH,637272,Entire home/apt,160,10,20
Gorgeous Private Las Olas-Idlewyld Home,1097874,Entire home/apt,321,3,70
Ocean View Condo  Pompano Beach,1235314,Entire home/apt,175,7,0
MARY POP APARTMENTS #203,454736,Entire home/apt,78,7,9
The Bush House - Country Living for Four,1304156,Entire home/apt,84,3,153
Clean/Modern 1/1 Apartment in Miramar,1532169,Entire home/apt,70,2,2
Secret in Wilton Manors/Lauderdale,1557618,Entire home/apt,139,3,100
Pleasant Room in Coral Springs,1583261,Private room,50,2,15
Fabulous & Private 475 sq ft Suite,1585064,Private room,45,180,47
Casa Blanca - Sunny Florida Mansion,791089,Entire home/apt,390,7,3
The Bush House - Hidden Gem for two,1304156,Entire home/apt,47,3,108
S.Florida 1 Sunshine Vacation,407867,Private room,90,2,3
S.FloridaSunshineGetawayVacation HardRock Stadium,407867,Entire home/apt,250,3,8
Beachside Location! Central Beach | Resort Condo,1770887,Entire home/apt,289,7,30
Beachside - Studio - Central Fort Lauderdale Beach,1770887,Entire home/apt,149,3,4
TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Entire home/apt,125,7,20
SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Entire home/apt,125,90,11
Key West  Bungalow,1931430,Entire home/apt,128,2,41
Charming Comfort... Ft Lauderdale Home,1848829,Entire home/apt,75,7,15
Hollywood Beach Weight Loss Camp,2007320,Shared room,300,7,0
Oasis at Sawgrass,345885,Entire home/apt,239,5,1
Beautiful Two Bedroom Townhome,1774750,Entire home/apt,58,4,47
Beautiful Water Front House w/ Pool,2168585,Entire home/apt,385,7,2
1 bedroom - Condo on the Beach,1889394,Entire home/apt,121,2,92
30days to 360days,2185056,Entire home/apt,85,360,1
2br/2ba Furnished Luxury Hi-Rise,546634,Entire home/apt,100,210,0
W. Hollywood private pool-side one bedroom getaway,1946264,Entire home/apt,99,3,57
MIAMI- AMAZING APARTMENT OVER BEACH,637272,Entire home/apt,250,16,25
HOME -----sweet----- HOME,2453109,Entire home/apt,80,3,141
Tropical Tranquil Retreat,2484614,Entire home/apt,89,1,5
Private  Tranquil & Beautiful Suite,1585064,Private room,27,180,42
Tropical/Private Room(s)/Pool,1748183,Private room,55,2,38
Ocean Front Condo! Central Fort Lauderdale Beach,1770887,Entire home/apt,347,3,22
Ocean Front Condo | Central Ft Lauderdale Beach,1770887,Entire home/apt,229,6,20
Oceanfront studio+Pool+WiFi+Equip.Kitchen+Laundry,3426390,Entire home/apt,51,28,52
Oceanfront Condo in Hollywood  FL,3463815,Entire home/apt,165,3,9
Gorgeous Condo in Fort Lauderdale,3484283,Entire home/apt,185,3,45
Professionally Cleaned Central Beachside Location!,1770887,Entire home/apt,208,7,19
Beachside condo - Central Ft Lauderdale Beach!,1770887,Entire home/apt,347,6,29
Beautiful house Central Ft. Lauderdale!,3696537,Entire home/apt,550,15,210
Decadent Oasis - hot tub  pool and billiards,2609518,Entire home/apt,526,3,176
Heavenly Sunsets in Fort Lauderdale,3747351,Private room,135,1,13
Enjoy A Garden Eden By The Beach!,4036922,Entire home/apt,360,3,34
Quiet and basic,1563441,Private room,50,20,0
2 month Lease on Deerfield Beach,4274008,Entire home/apt,300,60,0
Deerfield Beach Vacation Townhouse 2 Bed 2 Bath,4168960,Entire home/apt,108,5,18
The Bismarck Villa,4414033,Entire home/apt,263,4,5
Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,Entire home/apt,55,4,99
On the Beach Chic 2 Bedroom Miami,4787710,Entire home/apt,114,2,51
Renovations from October 16 to Feb. 1st.,4913859,Entire home/apt,67,3,9
1/1 MARY POP APARTMENTS #206 LAST MINUTE OK,454736,Entire home/apt,80,7,18
2 Bedroom apartment in Coral Springs,5371244,Entire home/apt,100,1,122
Sunny Fort Lauderdale Get-Away,3289399,Entire home/apt,82,7,60
OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2 FL,2001930,Entire home/apt,153,5,3
Nice masterbedroom at Fort lauderdale,5514632,Private room,48,1,21
Mins from everything 3/2 House,240212,Entire home/apt,300,7,17
Room in Fort lauderdale.,5514632,Private room,49,1,14
Key West Style Bungalow,1931430,Entire home/apt,126,2,40
Aladdin's palace,6030918,Entire home/apt,148,1,109
Stay at Walrick of So Fla (BR1)!,6021015,Private room,117,1,77
Stay at Walrick of So Fla (BR2),6021015,Private room,117,1,49
Cute Villa w/POOL 250 yds to BEACH,6133059,Entire home/apt,80,5,69
Elegant Condo 250 yards from BEACH,6133059,Entire home/apt,73,5,62
Studio with kitchen at Beach Hotel,5611017,Entire home/apt,54,10,95
Private room in Fort Lauderdale,2980266,Private room,119,2,0
Ocean View 3 bdrm/ 3bath 2 story 2 huge balconies,6288957,Entire home/apt,179,2,4
Cozy Suite in Fort Lauderdale,6302818,Entire home/apt,116,3,143
Tropical Waterfront Paradise with dockage.,2604965,Entire home/apt,632,1,33
Charming Waterfront Retreat,2604965,Private room,150,1,84
Tranquil Waterfront Oasis,2604965,Private room,150,1,51
Luxury High-Rise Condo on the Beach,6586687,Entire home/apt,100,30,0
Mediterranean Villa - Luxury Bath,6716392,Private room,70,2,118
Plantation Paradise,7005352,Entire home/apt,149,3,19
Sian 2/2 ocean front & ocean view,6321234,Entire home/apt,150,4,172
Fully furnished Florida Style Vacation Home.,7056347,Entire home/apt,215,2,145
Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Entire home/apt,85,29,2
🌟 SANITIZED🌟 2 BEDROOMS APT  SAWGRASS MALL,6204254,Entire home/apt,90,4,67
GREEN  OASIS,2453109,Entire home/apt,125,3,50
VILLAS HOLLYWOOD BEACH FL,7198092,Entire home/apt,211,30,0
Water front in Hollywood Fl,7215679,Entire home/apt,100,30,28
Quiet and Cozy yet Convenient,782593,Entire home/apt,150,30,1
The Bush House - Small House for two,1304156,Entire home/apt,54,3,126
Beautifully Renovated Beach Condo,7459306,Entire home/apt,166,1,4
2/2 SLEEP 6  MARY POP APARTMENTS  LAST MINUTE OK,454736,Entire home/apt,100,7,30
Amazing Ultramodern Hallandale 4 months minimum,7835977,Entire home/apt,137,150,0
OCEANFRONT/BORD DE LA MER À HOLLYWOOD AU TIDES,8073832,Entire home/apt,107,4,45
Fort Lauderdale Cottage Oasis,8092157,Entire home/apt,130,6,76
✦Hollywood FL✦✦ON THE BEACH✦✦Miami✦,8166273,Entire home/apt,74,1,52
 Welcome home on Hallandale Beach ,8250407,Entire home/apt,115,3,41
Luxury Beach House 20 steps from the ocean,8298928,Entire home/apt,350,3,13
Private Home Near Downtown & Beach remodeled!,1832378,Entire home/apt,56,30,25
Gorgeous Deerfield Home with Heated Pool,1976255,Entire home/apt,190,3,72
Amazing location across the beach!,8737341,Entire home/apt,425,7,1
Piso 6T - Modern  Apartment on the Beach,8790381,Entire home/apt,100,2,16
2 bedroom. Beach Club,8802450,Entire home/apt,250,30,0
3 bedroom/3 baths. Beach Club.,8802450,Entire home/apt,750,30,0
On the Beach!  2 bedroom/2 baths,8802450,Entire home/apt,250,7,0
Pretty  Cozy Compact studio 80 steps to the beach,231429,Entire home/apt,69,3,67
Comfortable room in Plantation   hi speed int+desk,8185224,Private room,54,20,15
Oceanfront condo in Fort Lauderdale,9184480,Entire home/apt,95,7,51
3BDR-2BA Home in quiet neighborhood,9207908,Private room,45,1,1
Joyous Mermaid House-Power Cleaned,113524,Entire home/apt,90,7,30
Tropical Pool Home and Pavilion,9315425,Entire home/apt,279,3,93
NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Entire home/apt,125,21,31
Villa-Coral-Ridge-Fort Lauderdale,9526715,Entire home/apt,229,2,21
LUXURIOUS MODERN WATERFRONT HOME,1437849,Entire home/apt,450,3,4
Cozy Seaward Shores! Walk to Beach & Beach Club!,9443719,Entire home/apt,399,6,6
4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Entire home/apt,428,2,14
Comfy Studio in Quiet Neighborhood,2692728,Entire home/apt,56,1,421
Beautiful  Two Story Home,9754289,Private room,79,5,31
3 bdrm 2 bath pool home near beach,9774075,Entire home/apt,286,4,7
Waterfront home / pool near Miami,9873790,Entire home/apt,260,6,27
W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Entire home/apt,514,2,33
The Cracker Shack. Victoria Park  Fort Lauderdale,171749,Entire home/apt,167,30,18
5 - Beach Bungalow w/ Free Parking,9946914,Entire home/apt,101,3,72
3 BED.2 BATH   PRIVATE POOL+PRIVACY,10175122,Entire home/apt,206,3,29
Piso 5U- Amazing and Unique Apartment on the Beach,8790381,Entire home/apt,100,2,23
Pompano condo w/ ocean views,10253166,Entire home/apt,71,60,4
2 - Beach Bungalow w/ Free Parking,9946914,Entire home/apt,118,3,44
Ft. Lauderdale Cottage 1bdrm 1bath,3246027,Entire home/apt,81,2,330
3 - Beach Bungalow w/ Free Parking,9946914,Entire home/apt,69,3,83
BIMINI – Very Confy & Spacious,10384873,Private room,65,30,13
Furnished Room # 3 share bathroom,10392690,Private room,49,3,29
CAICOS - Best location!! Everything included,10384873,Private room,40,30,16
BARBADOS – w/Private Entrance & Bathroom,10384873,Private room,70,30,15
WELCOME..................HOME,2453109,Entire home/apt,175,4,63
Modern  quaint  fully renovated,10416582,Private room,45,1,10
ANTIGUA - Nice & Quiet!!,10384873,Private room,60,30,21
Best of Hallandle Beach Vacation,10479761,Entire home/apt,77,60,3
Piso 4J - Youthful Apartment on the Beach,8790381,Entire home/apt,105,3,10
MODERN - NEAR BEACH -  only monthly rentals,3209220,Entire home/apt,85,31,45
Lovely Room in Weston Florida.2 person’s Only room,10534063,Private room,59,1,46
Luxury Bedroom with Private Bath,791089,Private room,100,3,2
APARTMENT 2 BEDROOM  IN FORT LAUDERDALE,10591425,Private room,129,4,37
STUDIO ON THE BEACH OF FORT LAUDERDALE,10591425,Private room,84,4,46
Downtown Fort Lauderdale and Beaches,10791649,Entire home/apt,213,4,62
The Red Cottage,10907013,Private room,125,1,0
Private room/Plantation  Florida -K,1748183,Private room,45,2,59
Pompano Beach House with Pool & Spa,6272954,Entire home/apt,290,5,59
PENTHOUSE SUITE HOLLYWOOD BEACH FL,461777,Entire home/apt,128,3,2
Room available in W. Pembroke Pines,11065578,Private room,33,7,19
Oceanfront Building: On the Beach! Enjoy it!,11270841,Entire home/apt,109,2,18
Private Suite @ Resort Like Home,11210319,Private room,89,2,56
The  Little Inn with a Big ❤️,11512158,Entire home/apt,100,2,65
FABULOUS 1450 SQ.FT. CONDO WITH LAKEVIEW,11513176,Entire home/apt,128,1,16
Peaceful Studio  with Full Kitchen,11553282,Entire home/apt,78,1,416
Private Studio #2 patio/garden UV Light Sanatized,11679207,Entire home/apt,75,30,5
TURKS - Cozy !! Neat and simple,10384873,Private room,36,30,30
Slice of paradise Private Heated Pool and Hot tub,510959,Entire home/apt,193,4,117
Health & Wellness Retreat 5' from Hollywood Beach,11797569,Private room,75,3,11
Furnished Room #2 share bathroom,10392690,Private room,53,3,10
1 BLOCK FROM THE BEACH 1/1 FIVE STAR QUALITY,12154543,Entire home/apt,109,1,87
Piso 7W -  Delightful Bay View on the Beach,8790381,Entire home/apt,151,3,25
Master room,11041743,Private room,76,1,21
Resort Villa W  Ocean/IntraCoastal  why not BOTH?,12540540,Entire home/apt,149,4,18
BEACH CLUB ON THE BEACH 5-STAR APT,2001930,Entire home/apt,225,20,0
Charming Villa  Pool  Walk 2 Beach Fort Lauderdale,12705227,Entire home/apt,219,2,61
Private Cabin 5 minutes to beach/SanitizedProperty,10477721,Entire home/apt,79,5,10
OCEAN VIEW STUDIO FORT LAUDERDALE,10591425,Private room,104,2,49
STUDIO 3 Blocks to BEACH w/POOL & free WiFi,899093,Entire home/apt,61,5,117
Convenient 2 bed tons of amenities,12132533,Private room,60,1,4
2080 LUXURY 3/2 OCEAN FRONT CONDO,2001930,Entire home/apt,395,14,2
Pool house+close to beach+WiFi+BBQ,3426390,Entire home/apt,114,21,24
CHAPPY WATERFRONT RESORT HOUSE,13077136,Entire home/apt,309,3,5
beautiful split level home,1463210,Entire home/apt,249,3,2
BIG 4 Bedroom 3.5 bath pool home,1459305,Entire home/apt,268,3,4
THIS IS YOUR SANCTUARY/ HEATED POOL,4087252,Entire home/apt,323,2,94
White Sandy Beach & Superb location,11068214,Entire home/apt,90,30,37
COMFY 1bedrm apt   WIFI  POOL  PARKING NEAR BEACH,899093,Entire home/apt,68,9,18
The Historic Joseph Young Mansion,2609518,Entire home/apt,928,3,22
1 Bedroom very nice Peaceful UV LIGHT Sanitized,11679207,Entire home/apt,146,30,2
Comfy Cottage...Clean  Convenient  and Quiet!,13663292,Entire home/apt,155,90,53
Beach Villa Oleander - Quiet & Cozy!,9443719,Entire home/apt,807,7,0
2/2  Beautiful apartment  Peaceful  UV Sanitized,11679207,Entire home/apt,85,30,8
2 bed 2 bath Pembroke Pines FL,479339,Entire home/apt,100,120,12
One mile from Beach! 1BR/1BA & Cozy,394991,Entire home/apt,57,3,283
3BR/2BA Solar Heat Pool near Beach,265809,Entire home/apt,375,3,111
Cottage in heart of FtL pool  private & your key,14552214,Entire home/apt,98,28,66
Solar Heated Pool!  Modern 2BR w/ Sleeper Sofa!,14501987,Entire home/apt,212,4,18
Very nice and safe complex!,14751091,Entire home/apt,89,7,11
SPECTACULAR 2B DIREC BEACH ACCESS,6554158,Entire home/apt,150,5,12
STUDIO W/POOL   PARKING  WIFI  3 BLOCKS TO BEACH,899093,Entire home/apt,63,5,98
Hollywood Beach 2 Bed Apartment,12518363,Entire home/apt,102,25,9
