name,room_type,price,minimum_nights,number_of_reviews
SunsplashedSerenity walk to Harvard & Fresh Pond,Entire home/apt,150,3,36
Lovely Studio Room: Thu-Mons  Near Universities,Private room,112,2,145
Near Harvard: Safe & Lovely Room,Private room,82,3,34
Furnished suite  Windsor,Private room,101,4,6
B & B near Harvard's Quad Houses,Private room,139,2,86
Riverbend Bed and Breakfast,Private room,110,2,178
CENTRAL LOCATION IN HEART OF CAMBRIDGE,Entire home/apt,200,91,4
Furnished suite 2 @ the Windsor,Private room,118,5,11
Cambridge Getaway @ Harvard & MIT,Entire home/apt,250,3,351
large furnished suite in Central sq,Private room,138,5,15
 The Treehouse  :  Elegant living near Harvard,Entire home/apt,180,1,20
A+ Clean & Safe 1Br @ MIT  Kendall  Back Bay,Entire home/apt,200,10,59
Two-room suite near Harvard Univ. with parking,Entire home/apt,80,1,224
Apartment in Harvard's Backyard,Entire home/apt,165,31,54
Elegant Airy Comfort. Workspace. Private Entrance.,Entire home/apt,300,60,255
Waterfront-1 Bed Room Luxury Condo,Private room,180,91,20
See Yourself in Central Square,Entire home/apt,150,30,126
Home on quiet street near Harvard,Private room,70,1,437
Full Term Housing in Mid Cambridge MA!,Entire home/apt,100,250,6
Sunny  lg 1-br  heart of Cambridge,Entire home/apt,125,91,10
Harvard Tufts MIT: Artist's Home,Private room,79,180,17
MIT/Harvard/Inman- 2 Bedroom Apt.,Entire home/apt,179,2,420
Beautiful Light-Filled Bedroom/Best Location,Private room,125,91,82
Quiet private room in N. Cambridge,Private room,65,1,366
Large Downstairs Room,Private room,32,16,170
Minutes to Harvard Square,Entire home/apt,166,91,16
Spacious townhouse in Cambridge  MA,Entire home/apt,135,91,3
Victorian Charm MIT/Harvard/Kendall/Central-1BR,Entire home/apt,118,3,432
Cambridge Apt  walk to MIT  Harvard,Entire home/apt,200,3,119
Huron Village Lower Unit Harvard Sq,Entire home/apt,200,7,65
Long term only  Modern Entire Condo MIT/MGH $3600,Entire home/apt,134,91,41
Renovated Brownstone - MIT/Kendall,Private room,140,2,307
City living at its finest!,Private room,140,2,199
HARVARD SQUARE APT MIT/BOSTON CLOSE,Entire home/apt,375,91,55
Charming Room Near Harvard Square,Private room,140,2,104
Entire 1BR Harvard Sq / Porter Sq,Entire home/apt,143,91,1
2 Cozy Rooms Near Harvard Square,Private room,173,2,43
Serene & cozy 1BR oasis  walk to  Harvard Square!,Entire home/apt,94,32,59
Cambridge Large Room available Long term.,Private room,69,32,32
Lux 1 Bedroom Cambridge Apt by MIT,Entire home/apt,135,21,18
Lux 2 Bedroom Cambridge Apt by MIT,Entire home/apt,199,21,31
It's home  Cambridge! (2BD/2BT),Entire home/apt,180,3,61
Bright Convenient Apt Harvard / MIT,Entire home/apt,145,2,159
Cute  clean & it’s all yours-1 bed- great location,Entire home/apt,145,2,187
Charming Harvard Victorian,Entire home/apt,344,3,301
Cozy Room in a Charming Townhouse,Private room,125,1,26
Stay Across from Harvard's Campus!,Entire home/apt,124,3,134
Lux 1 Bedroom Cambridge Apt by MIT,Entire home/apt,149,21,5
HarvardSq. Bright&Quiet 1 BdrApt MONTHLY/LONG TERM,Entire home/apt,95,91,34
Large Master Bedroom + Full Private Bath,Private room,159,5,19
Spacious 2 bedrooms Apt-Roof deck NO Cleaning fee,Entire home/apt,221,1,370
Cambridge Getaway @ MIT and Harvard,Entire home/apt,250,3,261
Huron Village Upper Unit Harvard Sq,Entire home/apt,200,7,43
Lux 1 Bedroom Cambridge Apt by MIT,Entire home/apt,135,21,14
Friendly Pleasant Place,Private room,108,3,245
