name,room_type,price,minimum_nights,number_of_reviews
Hyde Park - Walk to UChicago  10 min to McCormick,Private room,65,2,180
394 Great Reviews. 127 y/o House. 40 yds to train.,Entire home/apt,105,2,395
Tiny Studio Apartment 94 Walk Score,Entire home/apt,60,2,385
Barbara's Hideaway - Old Town,Entire home/apt,66,4,52
3 Comforts of Cooperative Living,Private room,22,1,45
The Biddle House (#1),Entire home/apt,115,4,20
Lincoln Park Guest House,Private room,289,2,4
Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ,Entire home/apt,99,91,9
Private Apt 1 Block to Fullerton L Red Line - Deck,Entire home/apt,113,32,37
Top 2/1  Block to Fullerton L Red Line Deck & Yard,Entire home/apt,94,32,47
Sanitized  Huge  Quirky Bucktown Loft + Parking,Entire home/apt,97,2,61
Andersonville - Perfect location!,Private room,77,3,250
Central guestroom! Walk everywhere!,Private room,75,2,500
Rest  Relax and Explore,Private room,65,3,70
5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,Private room,180,2,151
The Explorer Room,Private room,58,3,79
Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,Private room,99,2,150
Near Lake  Wrigley and Weiss Hospital,Private room,35,3,162
Trendy Roscoe Village 3BR/2BR walk to shops,Entire home/apt,198,2,32
4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Entire home/apt,275,2,54
Two Bedroom  One Bathroom Apartment,Entire home/apt,198,3,60
Cozy Garden Studio,Entire home/apt,125,3,88
Three Bedroom  Two Bathroom Combo Apartment,Entire home/apt,280,3,22
1BR/1BA Suite in Chicago (3709-G1),Entire home/apt,59,28,33
Best in Chicago  private  amazing garden space,Entire home/apt,159,3,508
Darling Damen Dwelling (with bike if you like),Private room,30,3,174
Historic Pullman Artist Flat - Artists & Explorers,Entire home/apt,90,1,269
Pullman Art Studio - One Person - Monthly Rental,Entire home/apt,39,30,39
Cozy & comfy with AC close to California Blue Line,Private room,79,2,20
Huge Bedroom with pvt marble bath,Private room,125,365,5
BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,Private room,55,7,153
Quiet Bedroom/ARAGON/Train,Private room,90,2,97
Close to Michigan Ave and parks,Entire home/apt,170,180,39
Studio Apartment Unit 4,Entire home/apt,48,32,21
You'll love Chicago! Guaranteed!,Entire home/apt,119,32,62
Steps From the Best Chicago Offers,Entire home/apt,204,10,65
Family Style Home-walk to Aragon/Riviera,Entire home/apt,875,2,22
Logan Square Classic Bungalow,Private room,103,2,139
Downtown 3BR/2BA Loft & Amazing River View,Entire home/apt,156,360,10
30 Day+ Med student  interns & interim stays.,Private room,26,30,61
