name,room_type,price,minimum_nights,number_of_reviews
Las Vegas MGM Signature Condo,Private room,240,2,6
#TOP Floor 2BR/3BA Penthouse @MGMSig,Entire home/apt,294,3,62
Bedroom with private bath in Southwest Las Vegas,Private room,35,2,43
Las Vegas Strip  3 beds/sleep 6 cheaper than hotel,Entire home/apt,267,7,2
2BR/2BA Strip View@MGM Signature,Entire home/apt,280,3,113
MGM Signature Studio W/ Strip View!,Entire home/apt,98,2,148
MGM Signature 1BR/2BA Suite W/ View,Entire home/apt,135,2,120
Vegas Luxury Palms Place Penthouse,Entire home/apt,1900,2,51
Furnished Las Vegas House with Pool,Entire home/apt,150,2,214
1 B/R Condo 2 miles W. Of The Strip,Entire home/apt,92,1,110
COZY CLEAN CUTE - Historic Huntridge District,Entire home/apt,65,31,10
Pool Villa - Pool Table  15 mins to Strip,Entire home/apt,370,2,110
Las Vegas Luxury house with pool,Entire home/apt,346,4,89
Las Vegas Excitement/Romantic Stay,Entire home/apt,130,2,219
1 Bedroom Condo 2 miles to strip 1 block Orleans,Entire home/apt,91,1,19
las Vegas holiday resort 1 week  (51),Entire home/apt,190,7,0
Your home away from home awaits!,Entire home/apt,159,2,198
Elara by Hilton  Las Vegas  Center Strip,Private room,199,4,2
#StripView JR Suite @ MGM Signature,Entire home/apt,119,3,27
Quality Vacation in 3.5 star Resort Suite,Entire home/apt,165,3,3
Las Vegas Strip Home Away From Home,Private room,94,7,3
Vegas Villa - Air Hockey  8 mins to the Strip,Entire home/apt,240,2,61
available for DEC  01 2020 JAN/FEB month to month,Entire home/apt,50,30,14
Mountain Villa - 15-20 mins to Strip and Red Rocks,Entire home/apt,209,2,70
studio  with private entrance close to the strip,Private room,105,1,26
Beautiful Villa in VEGAS,Private room,71,3,144
Beautifully Remodeled Home by Strip,Entire home/apt,242,2,200
2BR/2BA CENTER STRIP No Resort Fees! Free Parking!,Entire home/apt,221,3,59
MGM Signature Deluxe Suite!,Entire home/apt,98,2,135
Palms Place - Rated 'R' Suite,Hotel room,102,3,169
1 BR Center Strip Suite-NoResort Fees/FreeParking!,Entire home/apt,129,3,110
1 BR Center Strip Suite-NoResort Fees/FreeParking!,Entire home/apt,129,3,60
Quiet Room 15 mins from the Strip 1,Private room,40,2,174
MGM Signature 1BR/2BA Suite!,Entire home/apt,135,2,103
MGM Signature Junior Suite!,Entire home/apt,98,2,156
MGM Signature 2BR/3BA Suite!!,Entire home/apt,359,2,101
Luxurious Villa at Lake Las Vegas,Entire home/apt,125,30,0
2PRIVATE BEDROOMs NEAR  THE STRIP,Private room,131,3,8
Palms Place Balcony Strip View free wifi,Entire home/apt,110,1,254
Close To Strip! Pool  Spa & WIFI!!!,Entire home/apt,258,3,141
MGM Signature Penthouse 1BR/2BA Ste,Entire home/apt,135,1,113
Ultra Quiet/Mins to Strip/Private Pool &Yoga Space,Entire home/apt,289,4,69
MGM Signature 2BR/3BA w/ Balcony,Entire home/apt,359,2,84
Quiet Room 15 mins from the Strip 2,Private room,40,2,160
CLOSE TO THE STRIP  PVT. HOT TUB!,Entire home/apt,75,31,154
☀2Br☀ Wyndham Grand Desert Resort HH3-IB,Entire home/apt,178,3,99
Quiet Room 15 mins from the Strip 3,Private room,41,2,128
The Pondarosa,Private room,35,2,51
Modern Home w/ Private Pool  Spa  Pool Table,Entire home/apt,96,31,23
Las Vegas Exquisite Condo,Entire home/apt,65,7,42
rOOM FOR RENT IN 2BDR/2BATH CONDO,Private room,50,31,3
Vdara at City Center - Studio Suite,Private room,176,2,19
Modern Villa - 10 mins to the Strip,Entire home/apt,199,2,48
Private Guest House. Pets considered.,Entire home/apt,99,1,585
Polo Towers Suites & Villas Resorts,Private room,250,6,6
Charming 5 bedroom home w/ Spa  Game Room,Entire home/apt,212,3,104
Grand Villa - Ping Pong  BBQ Patio,Entire home/apt,312,28,6
Sweet+Smart HOME near LAS VEGAS STRIP + Golf View,Entire home/apt,60,31,24
2 rooms  self check-in  homeshare  near Red Rock,Private room,100,1,90
21st Floor Strip View@MGM Signature,Private room,133,3,310
MGM Signature 2BR/3BA Balcony Suite!,Entire home/apt,359,1,73
2bd Las Vegas Strip Condo #B,Entire home/apt,499,3,17
Nevada-Las Vegas-Tropicana Resort 1 Bdrm Condo #1,Entire home/apt,196,3,7
Nevada-Las Vegas-Spencer Street 1 Bdrm Condo,Entire home/apt,163,3,4
Nevada-Las Vegas-Spencer Street 2 Bdrm Condo,Entire home/apt,188,3,2
Nevada-Las Vegas-Tropicana 2 Bdrm Twin Condo,Entire home/apt,226,3,9
Suite @ Tahiti Vacation Club,Entire home/apt,130,4,0
Strip Close-2bd-Sleeps 6-Strip View-No Resort Fee,Entire home/apt,254,4,41
Relax !-Pool/Steam room/Gym,Private room,40,2,80
Cozy Blue room 2 miles from strip,Private room,26,31,146
Palm Villa - Backyard Pool,Entire home/apt,491,2,81
Cozy Yellow room 2 miles from strip,Private room,28,31,169
Cozy Green room 2 miles from strip,Private room,26,31,151
The Birdbath- Small Private Casita,Entire home/apt,73,5,257
Stunning Retreat 15 mins from Strip - Near M Hotel,Entire home/apt,98,4,78
MGM Signature ★ LUXURY ★ 1bed 2bath,Entire home/apt,110,30,0
Luxurious TownHome in Las Vegas/NV USA,Entire home/apt,109,24,2
Vdara deluxe suite (Bellagio fountain view) for 4.,Entire home/apt,186,1,523
Self check-in  west side  near Red Rock,Private room,50,1,68
2Br Wyndham Grand Desert Resort c2,Entire home/apt,178,2,114
Nevada-Las Vegas-Boulevard Studio Condo,Entire home/apt,158,3,1
Nevada-Las Vegas-Boulevard 1 Bdrm Condo,Entire home/apt,184,3,4
Nevada-Las Vegas-Boulevard 2 Bdrm Condo,Entire home/apt,203,3,12
Beautiful 3Level 1700sq Townhouse,Entire home/apt,146,3,46
Las Vegas Retreat - 1bd/1ba - New!,Entire home/apt,50,30,12
MGM Signature Deluxe Suite,Entire home/apt,98,2,93
⭐SANITIZED & SAFE♥️TOP RATED 2BD⭐WALK TO STORES!,Entire home/apt,146,1,331
The Birdbath - Purple Room,Private room,54,5,141
2Br Lockoff Grand Desert Resort g3,Entire home/apt,178,3,101
Tranquil Haven  North Vegas w/ Maid Service,Entire home/apt,95,31,3
3 bedroom . Views of Strip . Walk to all actions.,Entire home/apt,186,3,19
Beautiful  Home-Great Location *Sanitized*,Entire home/apt,178,2,44
Cozy Jr 1 Bedroom 2 mile from strip,Entire home/apt,40,31,74
VEGAS Huge Penthouse HotTub on Balcony Stripviews,Entire home/apt,842,1,259
Private Guest House with RV Parking,Entire home/apt,86,14,146
☀2Br Lockoff☀ Grand Desert Resort MM3-IB,Entire home/apt,199,3,81
HUGE 2BR/3BA Suite Sleeps 8 @MGMSig!,Entire home/apt,360,3,42
Private Room for rent,Private room,149,31,0
Convenient location 2 LV strip!  m,Entire home/apt,112,1,269
Quality retreat apartment. 5 min from the strip,Entire home/apt,127,3,221
☀2Br☀ Wyndham Grand Desert Resort JJ3-IB,Entire home/apt,178,3,50
☀2Br☀ Wyndham Grand Desert Resort FF3-IB,Entire home/apt,176,3,90
2Br Wyndham Grand Desert Resort e3,Entire home/apt,178,3,90
☀2Br☀ Wyndham Grand Desert Resort BB2-IB,Entire home/apt,178,2,108
1Br Wyndham Grand Desert Resort e3,Entire home/apt,153,3,13
Nice quite house only mins to Strip,Private room,150,30,59
TRUMP Tower ★ 1bed 2bath ★ 59th Floor ★ Views,Entire home/apt,110,30,4
3 Bedrooms/2 Baths Townhouse,Entire home/apt,184,31,69
Great spot and location in Vegas,Private room,25,2,85
Private Pool  Spa  Game Room  Putting Green  WIFI!,Entire home/apt,410,3,83
Artistic & Tranquil Room filled w/ Positive Energy,Private room,89,1,71
large fully furnished 3bdrm house,Entire home/apt,94,30,15
Million Dollar Corner 2BR on Strip,Entire home/apt,300,100,19
Artistic Master Suite Experience 420 Friendly,Private room,83,1,89
Quiet & Comfy close to attractions,Entire home/apt,70,180,7
Casita in Centennial Hills,Entire home/apt,69,30,31
Close to The Vegas Strip! 2 BdRm,Entire home/apt,299,1,2
3 BDRM-Near Strip/CLEAN-SANITIZED/80 meg WIFI/Laun,Entire home/apt,109,30,112
2 BDRM-Close to Strip/80 mg WIFI/Laundry/SANITIZED,Entire home/apt,115,30,147
Minutes from Strip/Ldry/80 meg WIFI/SANITIZED,Entire home/apt,125,4,178
Shared Room 15 Minutes From Strip,Shared room,32,2,64
2Br Lockoff Grand Desert Resort a2,Entire home/apt,178,2,114
The Grandview Resort-1bedroom,Entire home/apt,175,3,3
Quiet and Tranquil Retreat minutes from Strip,Entire home/apt,420,2,176
3BR CenterStrip Sinatra's Penthouse,Entire home/apt,113,1,394
Apt.1 bedroom pet freindly. UVC Germicidal protect,Entire home/apt,52,31,28
Awesome 1700sqft townhouse,Entire home/apt,120,31,29
2Br Lockoff Grand Desert Resort b2,Entire home/apt,178,2,82
"⚕✔SANITIZED
✔Luxury 2BD/2BA - NO RESORT FEES!!",Entire home/apt,114,1,261
Amazing Lake Las Vegas 1 Bdm apt,Entire home/apt,124,2,13
great new and cozy sleep 12. No deposit.,Entire home/apt,154,2,151
LAS VEGAS GATED ESTATE,Entire home/apt,600,4,7
Nevada-Las Vegas-Boulevard 3 Bdrm Condo,Entire home/apt,231,3,2
1BDRM GUESTHOUSE/COTTAGE AFFORDABLE,Entire home/apt,65,30,2
☀2Br☀ Wyndham Grand Desert Resort KK3-IB,Entire home/apt,178,3,73
☀2Br☀ Wyndham Grand Desert Resort MM3-IB,Entire home/apt,188,3,43
☀2Br Lockoff☀ Grand Desert Resort BB2-IB,Entire home/apt,186,2,59
HOME SWEET HOME  Private pool and free parking,Entire home/apt,59,31,24
3 Bedroom Best Suburb Clean Comfort Self CheckIn,Entire home/apt,101,60,13
☀2Br☀ Wyndham Grand Desert Resort LL3-IB,Entire home/apt,188,3,89
"⚕✔SANITIZED✔
Modern Relaxing 2Bedroom 2Bath⭐⭐⭐⭐⭐",Entire home/apt,101,1,251
Las Vegas Trop. Ave  NV  1 Bdrm #1,Entire home/apt,138,2,7
Large 4BD home  giant jacuzzi  near the strip!,Entire home/apt,252,2,208
Las Vegas 1BR Vacation Suite  Sleeps 4,Entire home/apt,206,2,6
2 bdrm GuestHouse LakeMead-HooverDam area (30+Day),Entire home/apt,182,3,77
Casa de Sinatra ~ NOT A PARTY HOUSE extended stays,Entire home/apt,849,30,89
Two Bedroom Two Full Bathroom Suite,Entire home/apt,101,3,4
Polo Towers 2bedroom  on the strip #01,Entire home/apt,308,2,106
Beautiful 4 BR + office-home in Henderson NV,Entire home/apt,220,30,16
One Bedroom  One Bath Suite,Entire home/apt,101,4,8
Polo Towers studio  on strip #1,Entire home/apt,162,2,46
PoloTowers 1bedr  on the strip #4,Entire home/apt,214,2,5
Polo Towers 2bedroom  on the strip #06,Entire home/apt,308,2,24
Polo Towers 2bedroom  on the strip #02,Entire home/apt,308,2,61
Gorgeous Summerlin Home,Entire home/apt,175,31,11
Serene Summerlin Condo,Entire home/apt,229,1,13
Las Vegas Cancun Resort (REDUCED!),Entire home/apt,125,2,3
Las Vegas Tropical Pool & Luxury Private Bedrooms,Private room,229,31,0
Marriott Grand Chateau On The Strip 1BD,Private room,273,1,16
Paradise -free solar pool- 15 minutes to the strip,Entire home/apt,238,4,98
Relaxing Condo  (Long Term Rental 31+ Days),Entire home/apt,76,30,10
888 # 1  MGM Signature Deluxe Suite.,Private room,103,1,65
888 # 2  MGM Signature Deluxe Suite.,Hotel room,103,1,53
Stay Together on The Strip - 1 Bedroom Suite,Entire home/apt,133,1,173
4 bdrm and hot tub minutes from the strip,Entire home/apt,278,1,366
Downtown and Bound!,Entire home/apt,578,3,82
Beautiful  upscale 5bed/3 full bath,Entire home/apt,175,3,188
Private Guest House,Entire home/apt,81,4,159
Marriott on Strip 1bdrm/Condo/4,Entire home/apt,180,2,8
Rest and Relax,Private room,75,7,25
Stay In A Million Dollar Home For $249 a night!,Entire home/apt,278,30,34
EXPERIENCE LAS VEGAS,Entire home/apt,286,2,2
Lake View Condo @ Lake Las Vegas - Long Term ONLY,Entire home/apt,104,30,18
Stay Together on The Strip - 1 Bdrm Apt w/View,Entire home/apt,137,2,177
MGM Signature 1 BR/ 2 BA/ Balcony/ Full Kitchen@,Entire home/apt,180,2,0
Las Vegas  2 Bedroom Charming Condo,Entire home/apt,79,21,24
Marriott Vegas Strip   1 bedroom,Entire home/apt,336,1,7
Luxurious Penthouse Condo in Vegas NO RESORT FEE,Entire home/apt,114,1,501
2BR Center Strip Condo Connected to Cosmopolitan,Entire home/apt,79,1,403
Marriott Grand Chateau Studio,Entire home/apt,239,1,8
Summerlin Retreat& Private Entrance,Private room,89,30,76
Minutes from the strip - secluded and quiet,Entire home/apt,200,1,187
