name,room_type,price,minimum_nights,number_of_reviews
Short North - Italianate Cottage,Entire home/apt,116,1,401
Private queen bedroom 1 - N.Campus,Private room,24,3,98
The Bellows' Studio Loft  (3rd floor apartment),Private room,80,2,224
2 bed/Safe/Quiet/Clean/Ample Parking/OSU/Laundry,Entire home/apt,115,2,132
1 Single Bed in a Shared Coed Dorm at the Hostel,Shared room,35,1,222
Full Private Room at the Hostel,Private room,67,1,45
Comfortable rooms in Clintonville 1,Private room,75,1,166
Better than a hotel! German Village,Entire home/apt,206,7,136
Downtown! Beautiful Historic Old Oaks Home!,Entire home/apt,225,1,67
Comfortable rooms in Clintonville 2,Private room,75,1,131
1 Single Bed in a Shared Coed Dorm at the Hostel,Shared room,38,1,45
Charming 1BR Clintonville Apt (2-mo. min. rental),Entire home/apt,55,60,80
Terrific Apt just south of OSU,Entire home/apt,180,2,29
Mid-Century Sweet Little Apartment,Entire home/apt,140,2,22
Close to OSU and Riverside Hospital (30day min),Private room,38,30,48
German Village Getaway,Entire home/apt,250,4,3
Great apartment with extra rooms,Entire home/apt,160,2,35
Extra Clean  House Close Downtown/OSU,Entire home/apt,72,1,206
Eclectic Short North Escape w/FREE Parking,Entire home/apt,199,2,128
Comfortable nice Bedroom,Private room,50,1,12
Short North / Italian Village Modern Urban Retreat,Entire home/apt,206,2,28
Relaxation Near Easton (Sky),Private room,50,28,41
The Manor-  3rd FL. Loft Apt. - Close to Downtown,Entire home/apt,69,1,215
King Private Room at the Hostel,Private room,84,1,39
Comfy I  3BD  Free Parkng  Monthly Rates Avail!,Entire home/apt,130,1,252
CMH Airport |670 Downtown| Gahanna| Bexley,Private room,35,2,97
Large Short North House,Entire home/apt,308,1,131
Comfy bedroom with unshared bath near downtown,Private room,73,6,40
Apt SHORT NORTH on Goodale Park,Entire home/apt,120,30,127
Short North Close to OSU!,Entire home/apt,104,2,140
Nice BD/ off street parking/Shabat,Private room,75,2,8
Relaxation Near Easton (Sand),Private room,50,28,30
Your  Home in Columbus  Ohio 43230,Private room,48,1,134
Your home in Columbus 43230,Private room,58,1,100
Quaint Townhome | Walkable | Work From Here!,Entire home/apt,93,2,64
SERENITY NOW!,Entire home/apt,181,30,36
Private 3rd floor room close to OSU & Short North!,Private room,24,1,75
Historic home near German Village,Entire home/apt,220,30,28
Comfy II  3BD  Free Parkng  Monthly Rates Avail!,Entire home/apt,113,1,288
Tulsa #3 Nicely Priced Bedroom,Private room,54,30,11
Tulsa #1 Large House Master Bedroom,Private room,61,30,8
Tulsa #4 Nicely Priced Bedroom,Private room,54,30,14
1BR Apt. on Clintonville Ravine,Entire home/apt,85,3,86
Beautiful condo in downtown,Entire home/apt,107,30,27
Restful Retreat right in the city!,Private room,95,1,24
Tulsa #5 Bedroom  large,Private room,54,30,10
Tulsa #6 Nicely Priced Bedroom,Private room,54,30,14
Beautiful Olde Towne East Home close to Downtown,Private room,30,1,390
Classic Second-Floor Olde Town East-Full Apartment,Entire home/apt,65,2,130
Fabulous apartment inside beautiful home,Private room,64,2,40
Big 3 Story House Downtown Columbus,Entire home/apt,314,1,129
SHORT NORTH STUDIO. 1 minute to HIGH ST.,Entire home/apt,740,30,70
Safe Guest Suite in my Short North / Downtown home,Entire home/apt,46,1,420
Peaceful home in the Dublin area,Entire home/apt,160,2,137
 The Coop   Near Easton Town Center Columbus  OH,Entire home/apt,91,1,200
Map Room - Olde Towne/Franklin Park-Historic Home,Private room,49,1,382
3 Bedroom Italian Village/Short North Home.,Entire home/apt,183,2,164
Modern Industrial Loft Space Fully Renovated,Entire home/apt,106,2,104
Unique Spacious German Village Gem,Entire home/apt,400,30,129
East Columbus Suburbs with private bath,Private room,38,1,175
CozySpace-NearDowntown- Charming Neighborhood!,Entire home/apt,170,2,29
Garden Manor Air BnB,Entire home/apt,99,2,121
Charming Marble Cliff Area Townhome,Private room,60,1,8
Single room in 3 bed house (30 day min),Private room,38,30,41
Cozy luxury bedroom w/ private bathroom,Private room,35,30,302
Historic Townhome in Heart of German Village,Entire home/apt,344,2,121
Urban I 3 BR 1 BA+Parking  Monthly Rates Avail!,Entire home/apt,116,1,215
Private bed & bath 10 mins from DT,Private room,46,1,31
Bedroom & Private Bath  Dublin/Hilliard  OH,Private room,33,1,269
Quaint 1920's Townhouse,Entire home/apt,70,2,107
1BR 1-person Clintonville Apt  (5-day min rental),Entire home/apt,60,5,26
Perfect for couples get away or singles traveling,Private room,44,1,91
Eastwood Heights Lounge,Private room,27,5,84
Clintonville Home,Entire home/apt,85,7,460
Private room  2 Twin beds & dedicated bathroom,Private room,35,1,232
Private  Full bed & dedicated bathroom North Cbus,Private room,35,1,260
Eastwood Heights BlueSky Room- Private room,Private room,42,5,29
Welcome! Share my home on Columbus's Westside :),Private room,40,3,63
★2 Bed★❤️ of OSU★Mapfre★Laundry★Loft★Walk/Bus★,Private room,43,1,399
★OSU★Mapfre★Laundry★Bus/walk★Renovated★★ Laundry★,Private room,42,1,220
Eastwood Heights New Horizons Room,Private room,39,5,7
Riverside/OSU Hospitals/Private Deck/Yard /Pets OK,Entire home/apt,84,2,185
Clintonville Charmer Room #1,Private room,30,1,121
Private Room and Bathroom.,Private room,35,2,142
Rustic Townhouse by Mapfre  Osu  Short North & Downtown,Entire home/apt,201,2,159
Short North Carriage House,Entire home/apt,96,1,501
Cozy Short North Studio Close to OSU,Entire home/apt,54,31,147
Private Room 15 min To Airport !!,Private room,45,1,225
Cozy bedroom in heart of the city,Private room,25,3,38
Charming Short North Home with Out-of-Tune Piano,Entire home/apt,95,30,7
#3 OSU Campus Near Iuka Ravine,Private room,89,30,9
★Queen Bed★Walk to OSU★Kitchen★Renovated★Bus★,Private room,38,1,234
★Restored★Laundry ★FreeParking★OSU★Bus/Walk★2Bath★,Private room,42,1,268
Miss Paula's B&B,Entire home/apt,70,1,351
In the Heart of German Village,Entire home/apt,235,2,17
Sweet Little Room in Devonshire,Private room,33,2,173
Iuka II  4BR 1.5B  Parkng  Monthly Rates Avail!,Entire home/apt,110,1,127
Beautiful spacious suite with gym.,Private room,68,1,76
Spacious 1 Bedroom Apartment Near OSU and Downtown,Entire home/apt,70,1,57
Unique Short North Home 4 BR 2.5 B - RoweRentals,Entire home/apt,215,1,181
Sweet Suite in Historic Woodland Park  downtown,Entire home/apt,145,2,34
Housepitality ~ The Traveler's Bungalow (Flexible),Entire home/apt,104,1,223
4th Street Apartments,Entire home/apt,80,4,52
Private clean  quite room and bath in a safe area.,Private room,41,3,40
Converted Historic Railroad House,Entire home/apt,85,1,137
Wonderful Weekend or Relaxing Extended Stay Space,Private room,50,1,66
Columbus Comfort. Close to all top attractions!!,Entire home/apt,249,2,96
Short North Apartment just steps from ~EVERYTHING!,Entire home/apt,87,6,114
Guest Suite @ OSU & Short North Arts District,Entire home/apt,40,2,379
Sleeping in the City,Entire home/apt,100,1,191
Lovely South Columbus/Casino Minutes Away,Private room,275,1,1
Olde Towne East Historical Home,Entire home/apt,320,30,17
A Zen Art Oasis - Private Guest Room,Private room,85,2,53
3 BR home~Easton~Airport,Entire home/apt,72,1,197
Retro Retreat in the Short North Arts District!,Entire home/apt,125,3,49
Conveniently located 1-bed apartment,Entire home/apt,37,2,90
The Gallery (Short North/OSU/Downtown),Entire home/apt,69,1,260
3rd Floor Suite in Historic Home on Goodale Park,Entire home/apt,125,2,96
Loft Carriage House—Short North/Convention Center,Entire home/apt,220,2,72
Urban II 3 BR 1 BA+Parking  Monthly Rates Avail!,Entire home/apt,116,1,210
Comfy home near OSU  Dublin  Worthington,Entire home/apt,90,2,86
Short North 4 Bedroom House,Entire home/apt,364,1,70
Lovely South Palace,Shared room,270,1,0
German Village / Brewery District,Private room,70,30,71
Bustling Brewery District Bungalo!,Entire home/apt,111,1,181
Private queen bedroom 2 - N. Campus,Private room,28,3,12
Cozy Townhome Next to OSU and Short North (B),Entire home/apt,126,2,165
Short North Studio Apt. w/Off-street Parking,Entire home/apt,76,7,370
City Vibe (Short North/Victorian Village),Private room,89,1,157
Grandview Post-War Charmer,Entire home/apt,93,2,153
Modern Ranch  WiFi  Garage  55 TV  Roku  Huge Yard,Entire home/apt,110,2,86
A Taste Of Europe,Entire home/apt,89,2,42
Ramona's Hideaway,Entire home/apt,125,1,142
Goodale Park Carriage House - heart of Short North,Entire home/apt,93,1,254
Standard space near OSU,Private room,85,5,1
Carriage House on Wall Street,Entire home/apt,120,2,101
Triple Private Room at the Hostel,Private room,80,1,14
Family Room at the Hostel,Private room,127,1,10
Clintonville Charmer Room #2,Private room,41,1,60
Entire Olde Town East Condo,Entire home/apt,71,1,135
Short North/Central Italian Village Home,Entire home/apt,375,1,66
German Village area home,Entire home/apt,96,7,10
Duncan Street Haven - Remodeled 2 Bedroom,Entire home/apt,135,1,143
Peaceful Room in Devonshire,Private room,33,3,65
Huge New German Village Getaway  Patio  & Fire Pit,Entire home/apt,148,1,175
Lovely  2 BR  by bike path  2 miles to OSU,Entire home/apt,102,2,102
A Secluded and Tranquil City retreat,Private room,98,1,32
Historic Studio Loft - Primo Location,Entire home/apt,94,2,206
Studio with a View,Entire home/apt,100,1,223
Doc's Retreat: 2BD House  Walk Downtown Nationwide,Entire home/apt,150,30,15
Bedroom with private bath,Private room,55,3,47
Housepitality ~ The Beautiful Bungalow (Flexible),Entire home/apt,107,1,170
Beautiful  spacious home  walking distance to OSU,Entire home/apt,229,2,17
Comforts of Home -Instant book,Private room,49,5,84
Housepitality~The Franklin Park Hideaway(flexible),Entire home/apt,102,1,130
Charming Renovated Duplex  Minutes from Downtown,Entire home/apt,173,1,181
Massive Historic 4BD/3BA House near Short North!,Entire home/apt,207,1,136
