name,room_type,price,minimum_nights,number_of_reviews
Tiny Home in the Heart of the City- ECO FRIENDLY,Entire home/apt,68,1,79
Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,Entire home/apt,135,3,127
Lodo / RiNo LOFT  via airport train,Entire home/apt,179,185,87
Comfortable  - and a great value!,Private room,54,1,608
private,Private room,45,4,160
Alexandra's Queen Bed Room LONG-TERM RENTAL,Private room,33,30,260
Baker Studio Close to EVERYTHING,Entire home/apt,90,1,54
Highland Park Guest House,Entire home/apt,85,4,75
LoHi Secret garden at the Mulberry Cottage,Entire home/apt,120,25,620
Spacious  Sanitized Condo (built in 1889) w/ yards,Entire home/apt,117,3,116
Affordable S. Denver Guest House,Entire home/apt,77,3,172
Comfy King Size Room (Park Hill),Private room,97,1,203
Luxury Wash Park Home Great for Families & Groups,Entire home/apt,325,3,26
Highland Snug,Private room,100,30,11
Denver Penthouse 5*Location DIA 33 Minutes $10.50,Entire home/apt,195,30,62
2000 SF-Lodo Club Style Condo,Entire home/apt,165,30,1
Washington Park Stunning Townhouse,Entire home/apt,214,3,138
Private room in the nest - w/bathroom,Private room,55,1,99
Private room In the heart of Denver,Private room,55,3,326
TreeHouseSuite  in Healing Center ~30 DAYS OR MORE,Private room,50,30,151
a REAL warehouse LOFT,Entire home/apt,200,180,38
Beautiful Home in Charming Location,Entire home/apt,195,5,147
RiNo Breweries  Food  Music & Art just steps away!,Entire home/apt,302,2,114
Urban Retreat with Private Bath,Private room,58,5,85
Private lower level 2 bedroom suite,Entire home/apt,83,2,286
2 Bedrooms - 2 King Size Beds (Park Hill),Private room,193,1,18
ZEN! Best Location! Cute & Quiet. CLOROX CLEAN!,Entire home/apt,59,30,32
Super-comfortable Modern Home 3 Bdr -Platt Park DU,Entire home/apt,192,3,81
Queen en suite in lovely Victorian,Private room,74,1,369
Dwell Contender!On Park! Walk Score 10+-Dog OK-,Entire home/apt,115,30,71
Peaceful Artist Oasis 2BR easy access Downtown,Entire home/apt,82,1,255
Stylish & Historic LoHi Loft w/ Views and Parking,Entire home/apt,120,29,58
Farm house in downtown Denver,Entire home/apt,57,90,24
DENVER SUITE MOUNTAIN🗻 VIEW CENTRAL LOCATION,Entire home/apt,89,30,11
Stapleton Carriage House,Entire home/apt,119,21,22
Private apt in Berkeley  MTN Views!,Entire home/apt,165,30,28
Beautiful Apt in Berkeley/Highlands,Entire home/apt,145,30,37
Historic Denver Bungalow- 30+ day rentals only,Entire home/apt,100,30,5
1BR/1BA Santa Fe Arts District Home,Entire home/apt,154,1,48
Modern Sizzle-New-Across from City Park-! Superb!,Entire home/apt,120,30,40
Comforts of Home in RiNO - 3bd/2ba,Entire home/apt,136,30,54
Stay 29+ nights! Updated home West Washington Park,Entire home/apt,130,29,17
Private Spacious Apt in Highlands/Denver,Entire home/apt,70,2,164
Sunny Southwest Exposure! Brooks Tower One-Bed 5A,Entire home/apt,100,30,1
Sweet and sunny in Capitol Hill,Private room,68,2,151
Suite of rooms in Capitol Hill,Private room,58,2,176
Sunny studio! Brooks Tower 5B,Entire home/apt,58,30,9
Fully furnished downtown apt! Brooks Tower 5G,Entire home/apt,78,30,5
Artsy Home - Queen Bed  Private Ba,Private room,47,30,9
City Living! Brooks Tower 5M,Entire home/apt,59,30,9
2x2 w/Private Balcony! Brooks Tower 5J,Entire home/apt,99,30,3
Downtown Studio w/Great Location: Brooks Tower 4M,Entire home/apt,70,30,4
Spacious Studio! Brooks Tower 6B,Entire home/apt,58,30,7
