name,room_type,price,minimum_nights,number_of_reviews
MAUKA BB,Entire home/apt,85,2,42
Upcountry Hospitality in the 'Auwai Suite,Entire home/apt,115,30,10
Hale Koa Studio & 1 Bedroom Units!!,Entire home/apt,85,5,168
Keauhou Villa,Entire home/apt,239,6,20
STAY AT PRINCE KUHIO!,Entire home/apt,92,3,143
Kauai  Ocean View 3 Story Tiki Tower Princeville,Entire home/apt,290,2,107
Beachfront Maui Sunset Condo,Entire home/apt,120,4,28
Stay in the Heart of Kona,Entire home/apt,98,3,230
Keolamauloa Homestead,Entire home/apt,120,3,28
Studio On Princeville  Golf Course / Paniolo Condo,Entire home/apt,129,3,112
All Inclusive that has it all  Sleeps 8  Hot Tub,Entire home/apt,250,30,24
Romantic Ocean Front,Entire home/apt,169,7,7
Ocean View Jacuzzi suite - 5min walk to Beach,Private room,170,3,101
Oceanfront Bali Cottage w/  Hot tub @ Kehena Beach,Entire home/apt,133,3,130
Luana Kai Oceanfront Condo by Owner,Entire home/apt,100,2,127
DELUXE OCEAN FRONT View Condo Kaanapali Beach Club,Entire home/apt,316,7,12
Main Lodge at Hawaiian Retreat,Entire home/apt,75,3,108
Nature Cottage at Hawaiian Retreat,Entire home/apt,55,3,140
Volcano Forest Escape 3BDRM Rental House,Entire home/apt,123,1,42
AC&AIR PURIF Unobstructed Ocean front  Princeville,Entire home/apt,399,3,4
AC&AIR PURIF Unobstructed Ocean front  Princeville,Entire home/apt,399,3,8
AC Gorgeous Ocean Front Condo  Poipu,Entire home/apt,399,3,26
Cute Hale Sugar Shack 2,Entire home/apt,110,5,63
STEPS TO THE BEACH 1 BEDROOM CONDO,Entire home/apt,90,3,202
2 BdRm - Cozy Condo near Kaanapali!,Entire home/apt,128,5,65
Ocean Escape  Your Perfect Spot!,Entire home/apt,145,14,72
Mountain Retreat. Affordable Luxury,Entire home/apt,147,7,69
Secluded Tropical Hideaway at South Kona Coffee !!,Entire home/apt,95,30,50
 Peacock  Studio w/FREE Parking & Full Kitchen,Entire home/apt,59,1,12
Waimea Bay North Shore Ocean Front (with AC),Entire home/apt,411,4,33
HawaiianJungleHangout,Entire home/apt,95,3,287
Hawaiian Jungle Hut,Private room,58,3,146
Great 1 Bdrm Across fr Beach OceanView! Start $129,Entire home/apt,149,2,266
Sunset Suite - steps to the ocean,Entire home/apt,169,4,176
Honomu Inn  the gateway to Akaka Falls,Hotel room,150,1,47
Eucalyptus Yurt and Botanical Gardens,Entire home/apt,130,3,16
$165 No owner fees - Kihei Akahi  Walk to Beach,Entire home/apt,165,5,150
Quiet Luxury Condo 2 bed/2bath,Entire home/apt,220,2,25
Absolute Oceanfront Luxury Home w/ Pool & Hot Tub,Entire home/apt,349,1,89
Ka awa Loa Plantation Guesthouse,Private room,114,1,271
S. Kona Studio  2min from beach  spectacular view!,Entire home/apt,118,1,163
RARE HAWAIIAN DIAMOND,Entire home/apt,125,4,217
Beautiful Oceanfront sunny Waikiki,Private room,193,2,286
Tropical Studio near Kehena Beach,Entire home/apt,90,3,235
Sugar Shack 3 in the Ke'ei District,Entire home/apt,113,30,116
Scandinavian Chalet  Maui  Hawaii,Entire home/apt,275,7,31
Stunning Luxury Oceanview Condo,Entire home/apt,126,4,68
Sea Views 1 Bedroom Poolside “Ka’amaina”,Entire home/apt,174,3,127
Seaside 2 bedroom 2 bath Oceanviews Ka’amaina,Entire home/apt,250,2,163
Treehouse at Kilauea Volcano,Entire home/apt,239,2,448
