name,room_type,price,minimum_nights,number_of_reviews
Skyy’s Lounge / Cozy,Private room,82,3,10
2bed/2bath furnished doorman  by NY,Entire home/apt,2000,150,0
Shared Room,Shared room,200,2,0
Minutes to Manhattan & Jersey Shore,Entire home/apt,106,6,125
Modern private 2 bedrooms apt minutes to NYC,Entire home/apt,95,2,353
Private room with own bathroom close to NYC,Private room,38,3,219
Large Room with private bathroom min to Manhattan,Private room,59,2,256
7 MIN TO MANHATTAN - LARGE APT,Entire home/apt,139,28,55
2 bedroom  minutes from bus stop to journal sq,Entire home/apt,59,31,4
LARGE SUNNY ROOM 15 MIN to NYC !,Private room,49,2,358
Lovely Apartment - close to NYC,Entire home/apt,70,3,116
1br 3/18 to 4/6 in Jersey City NJ,Private room,100,1,0
Newly renovated small studio.  1 Month or more,Entire home/apt,55,29,20
Bright Garden Studio loft  15 minutes to NYC,Entire home/apt,90,28,45
Calming room  Comfy bed  Caring host,Private room,80,4,156
Nice Apt -10 minutes to Manhattan,Entire home/apt,57,28,229
Top floor apt w deck in Jersey City,Entire home/apt,100,60,8
Modern Clean 1 Bedroom - Jersey City,Private room,126,2,0
Fantastic room with private bathroom close NYC!,Private room,47,2,216
(4) 24/7 Train Station 10 mins Ride to Manhattan,Private room,53,5,73
Minutes to Manhattan,Private room,35,28,45
Exposed Brick Brownstone Apt!,Entire home/apt,89,30,205
Modern Artist loft in Jersey City - minutes to NYC,Entire home/apt,165,21,1
Stone's throw from NYC & Hoboken,Private room,90,90,1
Manhattan in Minutes,Private room,30,2,26
DHS at Paulus Hook 1 BR - Royal,Entire home/apt,300,3,3
Dharma Jersey City Paulus Hook P2BR Lime,Entire home/apt,375,3,30
Dharma Jersey City at Grove Station 1 BR,Entire home/apt,150,3,1
Suite with Statue of Liberty View,Entire home/apt,300,14,4
DHS at Exchange Place 1 BR Suite,Entire home/apt,195,3,7
DHS at Exchange Place 2 BR Suite,Entire home/apt,255,3,11
Beautiful apartment for your next NYC trip,Entire home/apt,135,3,18
Luxury Furnished 1 Bedroom Apartment Jersey City,Entire home/apt,129,21,20
Modern 2 Bedroom Apartment in Jersey Citys Newport,Entire home/apt,159,21,7
Renovated Urban Oasis w/ private patio,Entire home/apt,112,7,15
1 BR Suite with Fabulous  View!,Entire home/apt,275,14,3
A room in private house - 20-35 minutes  from NYC,Private room,24,1,217
2 BR APT. Jersey City  Heights close to NYC!,Entire home/apt,114,2,231
DWTN Jersey City Art Studio Apt  long term stays,Entire home/apt,91,15,11
Dr Norton House@Lincoln Park JC NJ,Entire home/apt,129,3,133
Cozy Private rm in Jersey City  mins to Manhattan,Private room,89,1,8
Modern 1 Bedroom Apartment in Jersey Citys Newport,Entire home/apt,129,21,5
Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,Entire home/apt,159,21,6
Historic Brownstone in Jersey City,Private room,150,2,4
Luxury 2 BR/2BA 1310sq ft,Entire home/apt,200,3,12
NYC & Hudson River views (2 BR),Entire home/apt,195,28,4
Room with private bathroom min to Manhattan,Private room,50,2,311
Big room with private bathroom close to Manhatta,Private room,58,2,330
900+ reviews 15 mins to NYC. Private Room 201,Private room,60,5,49
Beautiful apartment+extras NYC area,Entire home/apt,83,3,216
Downtown JC Apt - Easy Acces to NYC,Entire home/apt,115,5,91
Small bedroom close to Manhattan!,Private room,69,3,1
Comfy Artsy room 10 Min NYC,Private room,70,4,1
Lrg Garden Studio w/Yard 29 Day Corporate,Entire home/apt,117,29,203
Designer Loft 10 mins to Manhattan,Entire home/apt,145,3,0
Waterfront Loft - 7 mins to NYC!,Entire home/apt,254,28,9
Beautiful Waterfront Condo,Entire home/apt,99,28,9
Cozy Bedroom with pvt Bath. PATH,Private room,95,1,47
very clean studio  NO SHARE,Entire home/apt,45,31,42
