name,room_type,price,minimum_nights,number_of_reviews
Amazing bright elegant condo park front *UPGRADED*,Entire home/apt,115,30,2
Beautiful Furnish Mirrored Mini-Suite w/ Fireplace,Private room,75,30,27
Zen Life at the Beach,Private room,155,1,21
* Beautiful Master Suite/Jacuzzi Tub/*,Entire home/apt,50,30,0
Zen Room with Floating Bed near Venice and LAX,Private room,70,30,230
Artist Oasis near Venice Beach w/ Beautiful Garden,Entire home/apt,135,30,128
Beau Furn Rm  Dres Rm/Wlk-In Clst Terr. Runyon Vw,Private room,73,30,22
Sunny and Private 2nd story Queen Bedroom,Private room,55,1,12
Quiet Walkable Area/Sanitized New Kitchen CozySpot,Entire home/apt,89,30,241
Cozy Guest House on Venice Walk St.,Entire home/apt,122,3,401
City Place Lofts,Private room,80,2,393
Bright Apt  walk to Venice Beach,Private room,85,30,47
Burnham Beach Hse Retreat,Private room,50,1,137
CASAMIGOS,Private room,74,30,45
Budget hotel in Los Angeles,Private room,85,1,33
Craftsman Duplex-Hollywood!,Entire home/apt,195,30,7
Le petit bungalow private entrance + bikes in VB,Entire home/apt,70,30,45
1930's Spanish Duplex on 9th St,Entire home/apt,155,30,10
Burnham Beach Cottage 1,Entire home/apt,175,2,172
Glamour Calls Us A Haven of Peace  Modern Architectural Zen Hollywood Hills,Entire home/apt,284,5,27
ARCHITECTURAL GEM! BIKE  STROLL CANALS TO BEACH...,Entire home/apt,425,31,30
Burnham Beach Cottage 2,Entire home/apt,175,2,161
Beautiful Roomy Fully Equiped Private Master Suite,Private room,95,2,1
*****Modern & Chic Spanish Bungalow @ Casa Redondo,Entire home/apt,123,3,70
The Enchanted Manor-Private Oasis,Private room,438,2,4
Bohemian home w/detached Studio & Rooftop Jacuzzi,Entire home/apt,282,2,3
Bohemian home w/rooftop jacuzzi  & tiki bar,Entire home/apt,214,2,51
Eco-friendly Private Room in Silverlake House,Private room,75,30,253
Private Studio  6 Doors to Beach,Entire home/apt,124,3,484
Mondrian-Inspired Studio With Breathtaking Views And Light,Entire home/apt,199,5,33
Experience Angeleno Magazine's  Best Rental In Hills ,Entire home/apt,171,4,44
Silver Lake foothills studio with huge deck,Entire home/apt,110,3,171
Green Sputnik in Highland Park,Entire home/apt,108,1,226
Cactus Flower - Modernist Solar Guesthouse with Large Garden,Entire home/apt,294,3,113
Sleek New York Style Loft With Jaw-Dropping Hollywood Views,Entire home/apt,178,4,26
Beach Bungalow one block to ocean,Entire home/apt,130,30,280
2block from beach-Historic Bungalow discount/month,Entire home/apt,143,4,344
Experience the Wolford House  a Mid Century Hilltop Jewel,Entire home/apt,285,30,118
Spacious + Sanitized 3 Bedroom Townhouse.,Entire home/apt,370,3,4
Charming accommodations in Westwood/West LA,Entire home/apt,96,1,18
Modern Studio with private garden and Aircondition,Entire home/apt,135,30,221
Asian Pacific Suite,Private room,65,30,30
DWELL Inspired Modern Luxe 2BR w/ Sweeping Views,Entire home/apt,264,30,26
room and bathroom in santa monica,Private room,100,30,67
Charming & cozy room with breakfast!!,Private room,90,30,186
The Zanja Shangri-La,Entire home/apt,175,2,133
Lovely Master King Bed French Door,Private room,66,1,97
Malibu Guest house/ near beach,Entire home/apt,188,2,332
