name,room_type,price,minimum_nights,number_of_reviews
Nashville Charm,Private room,40,30,674
East Nashville Retro Ranch!,Private room,65,60,138
East Nashville Retro Ranch BR #2,Private room,65,60,107
East Nashville Retro Ranch BR #3,Private room,65,30,5
Room in Historic East Nashville Craftsman Home,Private room,75,2,510
Close to Vanderbilt 2,Private room,60,1,261
Nashville Loft - Downtown  Walk to Honky-Tonks!,Entire home/apt,172,2,36
Apart. on the Ridge near Opryland,Entire home/apt,103,30,50
ButterflyRoom-private bath- open Nov 5,Private room,29,30,96
MorningstarHouse  REDUCED/ monthly-open August,Private room,26,30,76
SuperSweetSTUDIO  jacuzzi  monthly,Private room,31,30,48
A+ Cottage & private courtyard! 5 mins to Downtown,Entire home/apt,88,2,979
MorningstarHouse  REDUCED- monthly- open now!,Private room,26,30,77
Contemporary-Mod Paradise w/ Private Bathroom,Private room,85,1,231
Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,Entire home/apt,82,2,794
Private Vaulted Suite! King Wet Bar Bath/5 min DT!,Entire home/apt,86,2,772
Cozy and Convenient in Donelson!,Private room,90,2,27
Admire the Skyline from the Rooftop Terrace at a Chic Suite,Entire home/apt,108,2,283
Serenity Haven,Private room,29,30,47
Heart of Music Row  Private Suite (600 sq FT),Private room,87,2,379
A Clean  Quiet Suite in a Great Neighborhood!,Entire home/apt,99,2,257
Luxurious Rustic Cozy Guesthouse,Entire home/apt,89,2,560
Pillow Street Cottage,Entire home/apt,162,2,36
Downtown Great Getaway,Entire home/apt,195,2,57
Downstairs/Midweek only Designer Home n Music City,Private room,250,2,1
Private Carriage House,Entire home/apt,67,2,432
The Fab GuesT QuarTers Suite,Entire home/apt,108,5,200
Hotel-quality Two-bedroom Suite,Entire home/apt,79,2,81
House Near Grand Old Opry,Entire home/apt,100,30,16
Private suite in university area,Entire home/apt,85,2,372
Music Row Apartment and/or Recording Studio!,Entire home/apt,86,3,166
Valentino's Retreat,Entire home/apt,135,2,42
Bluebird Loft @ 5Points/Downtown  (CDC Clean),Entire home/apt,65,1,393
East Nashville private duplex apt,Entire home/apt,89,30,137
Take Time out by the Private Lake at Our Urban Oasis,Private room,95,1,260
