name,room_type,price,minimum_nights,number_of_reviews
Skylit Midtown Castle,Entire home/apt,175,3,48
Whole flr w/private bdrm  bath & kitchen(pls read),Entire home/apt,76,1,354
BlissArtsSpace!,Private room,60,29,50
Spacious Brooklyn Duplex  Patio + Garden,Entire home/apt,175,7,1
Large Furnished Room Near B'way　,Private room,73,2,473
Cozy Clean Guest Room - Family Apt,Private room,75,2,118
Spacious river view in the West Village,Entire home/apt,160,3,66
Lovely Room 1  Garden  Best Area  Legal rental,Private room,82,4,181
Wonderful Guest Bedroom in Manhattan CENTRAL PARK,Private room,85,2,123
Only 2 stops to Manhattan studio,Entire home/apt,109,30,181
UES Beautiful Blue Room,Private room,62,30,233
Perfect for Your Parents + Garden; Germ-Free,Entire home/apt,191,2,233
2 Furnished bedrooms next to Central Park,Private room,96,14,0
Sweet and Spacious Brooklyn Loft,Entire home/apt,299,3,9
MAISON DES SIRENES1 bohemian apartment,Entire home/apt,120,2,116
Magnifique Suite au N de Manhattan - vue Cloitres,Private room,86,4,0
Modern 1 BR / NYC / East Village,Entire home/apt,175,3,34
Spacious 1 bedroom in luxe building,Private room,55,2,98
Large B&B Style rooms,Private room,70,3,75
Lovely Room 2; Garden; Best area  Legal,Private room,82,4,181
Country space in the city,Private room,150,1,0
ENJOY Downtown NYC!,Private room,30,2,262
BEST BET IN HARLEM,Entire home/apt,150,7,107
Entire apartment in central Brooklyn neighborhood.,Entire home/apt,95,30,13
1 Stop fr. Manhattan! Private Suite Landmark Block,Private room,130,2,281
Charming Brownstone 3 - Near PRATT,Entire home/apt,100,5,67
bright and stylish duplex,Entire home/apt,120,3,12
(E) RIGHT ON BUDGET,Private room,75,2,65
Sunny Williamsburg/New York loft,Entire home/apt,245,180,35
Fort Greene brownstone,Private room,80,1,143
Beautiful Attic bedroom Chelsea!,Private room,150,2,69
Blue Room for 2 in Brownstone for $1350 monthly,Private room,81,2,141
* ORIGINAL BROOKLYN LOFT *,Entire home/apt,152,3,99
Greenpoint Place...Has It All!,Entire home/apt,150,2,180
Beautiful Apartment in Manhattan!!!,Entire home/apt,200,7,20
Great Location  Manhattan Bedroom!,Private room,110,5,19
Best Location in NYC! TIMES SQUARE!,Private room,97,2,325
Bright Nolita Apt w Doorman & Elevator*,Entire home/apt,150,7,25
Very  very cozy place,Private room,80,7,49
Sunny & Spacious Chelsea Apartment,Entire home/apt,375,30,5
2 bedroom Upper East Side,Entire home/apt,219,2,83
An East Village winter adventure!,Entire home/apt,130,3,58
Comfortable 4-bedroom apt in family house.,Entire home/apt,120,5,150
Double Room w Private Deck Clinton Hill Best Area,Private room,55,7,28
Light-filled 2B duplex in the heart of Park Slope!,Entire home/apt,250,3,4
Sunny  Modern room in East Village!,Private room,71,1,409
BRICK HAVEN ~ Loft ~ Full Floor ~ Double Exposure,Entire home/apt,284,1,179
Large Room in Amazing East Village Apt,Private room,79,1,119
SpaHa Loft: Enormous and Bright,Entire home/apt,200,4,212
Lovely EV Artist's Home,Entire home/apt,250,5,53
Cool Room in Hell's Kitchen,Private room,55,20,29
HARLEM  NEW YORK WELCOMES YOU!!,Private room,65,2,60
BLUE TRIM GUEST HOUSE,Private room,95,2,128
Charming East Village One Bedroom Flat,Entire home/apt,176,5,21
King of Queens w/ Private Bathroom,Private room,70,30,22
Little King of Queens,Private room,55,30,28
Beautiful Meatpacking District Loft!,Private room,150,4,184
Cozy 2 BR in Williamsburg,Private room,145,3,63
Cozy Studio in Great Location!,Private room,95,30,1
Spacious luminous apt Upper West NYC,Entire home/apt,110,31,58
Sunny  Spacious Top Floor Haven,Entire home/apt,130,6,17
perfect for a family or small group,Entire home/apt,2000,1,25
2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,105,3,61
Great Location for NYC,Private room,50,1,2
Cozy Bedroom in Williamsburg 3 BR,Private room,85,3,193
Room in Brownstone B/Q feet away,Private room,85,1,43
Sunny room+Pvte office in huge loft,Private room,50,5,30
Large Parlor Room  Landmark Home 1 block to PRATT,Private room,98,7,19
2-bed brownstone duplex + garden,Entire home/apt,350,21,23
Charming 1 bed GR8 WBurg LOCATION!,Entire home/apt,80,5,168
Light-filled classic Central Park,Entire home/apt,99,30,82
Upper Manhattan  New York,Private room,99,1,3
COZY QUIET monthly room 4 DOOGLERS!,Private room,85,7,36
House On Henry (3rd FLR Suite),Entire home/apt,125,2,259
Upper Upper West Side Townhouse 2bd/2ba,Entire home/apt,200,30,219
2000 SF 3br 2ba West Village outdoor living house,Entire home/apt,449,5,49
Beautiful Duplex Apartment,Entire home/apt,220,30,88
Large 2 Bedroom Great for Groups!,Entire home/apt,110,5,170
Modern Brooklyn Apt.  August sublet,Entire home/apt,83,30,29
1 800 sq foot in luxury building,Private room,100,1,190
Sunny 2-story Brooklyn townhouse w deck and garden,Entire home/apt,200,30,20
Times Square  Safe  Clean and Cozy!,Private room,69,2,374
Cozy Room #3  Landmark Home 1 Block to PRATT,Private room,98,2,29
