name,room_type,price,minimum_nights,number_of_reviews
Spacious Cottage in Mid-City!,Entire home/apt,200,2,125
Fully Furnished Cozy Apartment,Entire home/apt,60,1,467
Maison Mandeville in the Marigny,Entire home/apt,106,3,256
Ravenwood Manor (Historic Bywater),Entire home/apt,130,3,226
Maison Marais 1: Large Local Living,Entire home/apt,92,3,496
Luxury & history in the Big Easy #1,Private room,99,3,191
FeelAtHomeInNO PrivateApt,Entire home/apt,99,2,505
Beautiful Room Uptown Home - License 17STR-10083,Private room,89,3,36
Moon Over Mazant - Bywater's First and Finest!,Entire home/apt,92,3,360
Frenchmen House  Red Room ,Private room,75,1,689
Historic UPTOWN NEW ORLEANS Resort,Private room,347,2,5
Marginy BnoB by Frenchman!,Entire home/apt,75,3,394
Live Like a Local in Mid-City,Entire home/apt,110,30,141
True NaWlins Flavor,Entire home/apt,72,2,354
Frenchmen House  Rose Room ,Private room,75,1,690
Northside Bayou Quarters,Private room,199,2,2
2 Bed  2.5 Bath Comfort near French Quarter,Entire home/apt,200,3,192
Muse Suite- Near French Quarter,Entire home/apt,210,3,276
The Pearl at Riverbend,Private room,125,2,76
Quintessentially New Orleans,Entire home/apt,227,2,200
La Boheme de Marigny - Historic Creole Cottage,Entire home/apt,450,2,71
Maison Marais 2,Entire home/apt,92,3,476
NOLA JAZZ FEST GETAWAY,Private room,74,2,142
Bywater Bungalow - Bikes & 4 Beds!,Entire home/apt,129,3,258
Authentic New Orleans Home,Entire home/apt,150,2,105
Juke Joint Guest House -- Walk to French Quarter,Entire home/apt,195,3,182
Historic Irish Channel Corner Grocery - Charming!,Private room,55,3,168
Wander Magnolia-Lined Streets from a Serene  Creative Space,Entire home/apt,278,2,176
Jazz Fest/ Bayou St John/ MardiGras,Entire home/apt,53,30,38
Magazine St contemporary townhome (18STR-14210),Entire home/apt,297,4,25
Historic pied-à-terre on Esplanade,Entire home/apt,175,30,80
Algiers Point  New Orleans LA - Funky NOLA Digs,Entire home/apt,70,30,10
The Burgundy Cottage - Marigny Triangle,Entire home/apt,164,30,167
Stylish Home Walking Distance to French Quarter Free Bikes,Entire home/apt,140,2,424
Charming Shotgun Cottage Uptown,Entire home/apt,70,30,125
Little Gem,Entire home/apt,136,3,339
New Orleans Jazz Fest Getaway 2,Private room,65,2,42
Tremé Creole Cottage 3 bed/3 bath,Entire home/apt,175,1,97
Near bustling Magazine St w/BIKES!,Entire home/apt,120,30,169
Bayou St. John Cottage!!,Entire home/apt,125,30,35
3 Blocks to Jazz Fest! Big Beautiful Best!Sleep 16,Entire home/apt,707,2,146
Uptown home w/room to spread out!,Entire home/apt,541,1,35
Private oasis in the Marigny,Entire home/apt,74,2,434
Artistic Mansion,Private room,69,1,332
30 day minimum  long term rental only,Entire home/apt,150,30,226
Oak Street Hangout...,Entire home/apt,99,30,89
Spacious  Historic Treme Home with Vintage Charm,Entire home/apt,249,1,35
1 Block to FQ and Frenchmen St -- Diamond Location,Entire home/apt,300,3,55
The Cristo,Entire home/apt,156,28,122
Half of The Okra Inn: On Canal Streetcar Line,Private room,288,7,26
Bywater Victorian Double,Entire home/apt,89,2,356
Lovely Landmark  Great Monthly Rates!,Entire home/apt,120,30,106
Luxury Home  Excellent Location,Entire home/apt,225,30,78
Bohemian Bywater Cottage,Entire home/apt,129,30,42
Elegantly Decayed  Creole Mansion,Entire home/apt,350,3,134
Avenue Style II; Great Monthly rates!,Entire home/apt,140,30,73
Avenue Style - Great Monthly rates!,Entire home/apt,120,30,54
Beautiful Efficiency Apartment,Entire home/apt,89,3,117
Quiet Stroll to the Quarter #1,Private room,69,2,189
Quiet Stroll to the Quarter #2,Private room,69,2,244
Ride the Streetcar to the French Quarter!,Private room,79,1,625
Private room and balcony in house with pool,Private room,68,2,148
Sky Loft Bywater-Marigny - GREAT LOCATION!!,Entire home/apt,75,30,227
The Okra Inn Master: On Canal Streetcar Line,Private room,62,1,218
The Okra Inn's Balcony Room: On Canal Streetcar,Private room,50,1,232
"Rumahku De New Orleans
lic#17STR-11489 ex6/6/20",Entire home/apt,75,3,289
Efficiency near City Park!,Entire home/apt,53,30,35
Huckabuck Village in Historic Treme,Private room,126,2,191
Large open clean w/ wraparound balcony,Entire home/apt,235,3,180
Stay by the river in the safe & historic Bywater,Entire home/apt,89,3,460
The Cristo,Entire home/apt,184,28,156
Large Apt Bayou St John/City Park 3 miles to Dome,Entire home/apt,250,30,96
Majestic 5 bedroom mansion close to the FQ,Entire home/apt,471,3,93
GUEST WING BY THE RIVER ~2 Q Bedrooms,Entire home/apt,112,5,99
City Cove:   Great Monthly Rates!,Entire home/apt,100,30,42
Garden District  DT Views  Comfort,Entire home/apt,195,3,35
Mardi Gras Balcony Views in Historic Garden District,Entire home/apt,260,3,59
Walk to St Charles  private deck,Entire home/apt,135,3,32
Midcity-Steps to Canal streetcar,Entire home/apt,300,30,4
Fab Frenchmen Maison on the Park,Entire home/apt,475,4,170
Fab Apt with Perfect Park Porch,Entire home/apt,125,31,100
Privacy and Luxury,Entire home/apt,570,4,55
City Park  Mid City  Safe area near Streetcar Stop,Entire home/apt,60,30,56
Mansion in the Garden District,Entire home/apt,950,4,64
New Orleans Spacious Apt. Sleeps 6 On Canal Street,Entire home/apt,152,2,207
Historic Apt in Magical Marigny,Entire home/apt,195,3,131
private getaway near french quarter,Entire home/apt,75,30,115
HUGE Historic Warehouse District Condo,Entire home/apt,393,3,10
Mandolin / 40%Off Fall  5BR/2.5BA/ Sleeps 12 !,Entire home/apt,325,2,101
Mid-City- Newly Renovated Efficiency!,Entire home/apt,75,30,90
The Blue Heart,Entire home/apt,100,32,68
Retro Cottage near Bayou/ Jazz Fest,Entire home/apt,42,30,67
Creole Guest Suite Garden Oasis,Entire home/apt,95,2,31
Marigny Oak House  French Quarter 3 Blocks Away,Entire home/apt,68,2,378
Walk to Tulane  The Purple Room of the Treehouse,Private room,70,1,203
Artist  LGBTQ  pet friendly  NOLA!,Entire home/apt,82,2,137
Covid Ready: Beautiful Audubon Two Bedroom Suite.,Entire home/apt,289,2,21
Covid Ready: Amazing 2 Bedroom UPTOWN AUDUBON PARK,Entire home/apt,249,24,23
Modern Home Near French Quarter,Entire home/apt,278,30,50
