name,room_type,price,minimum_nights,number_of_reviews
Room #2 @ B-Love's Guest House,Private room,43,3,37
Mod Studio,Entire home/apt,125,6,260
Share my Charming Home!  (1 person or 1 couple ),Private room,63,7,43
Rockridge Studio w/garden and Patio,Entire home/apt,89,30,112
Luxury Flat w/Mediterranean Garden—Upper Rockridge,Entire home/apt,141,7,18
Sunny Rockridge Home,Entire home/apt,195,5,35
Rockridge  Craftsman Brown Shingl,Entire home/apt,164,30,122
North Oakland craftsman bungalow,Entire home/apt,125,7,28
Comfortable Rockridge Guest Room,Private room,93,2,43
Art filled Room - Central Temescal,Private room,74,14,16
Spacious Fairytale Bedroom in English Mini Estate,Private room,27,5,7
Immaculate Rockridge In-law Oakland,Entire home/apt,109,3,221
Modern Sunny Rockridge Cottage,Entire home/apt,151,3,229
Paris in Oakland just off Piedmont Ave,Entire home/apt,164,7,27
Miniature House  Studio Style  SAFE Neighborhood,Entire home/apt,89,7,10
Walkable Best Area ~ Green Sanctuary w/ porch,Entire home/apt,88,2,8
3+bedroom/3 bathroom house with a View of Oak & SF,Entire home/apt,230,4,18
Art Filled Oakland Hills Beauty,Entire home/apt,160,3,270
Charming Garden Oasis 1bd apt.,Entire home/apt,99,2,193
Private room with bath  and cat!,Private room,69,2,271
Lovely Victorian flat 1 blk to BART,Entire home/apt,76,2,33
Spacious Suite in Rockridge Home,Private room,115,2,191
Private & Serene  Montclair/Oakland,Entire home/apt,98,2,262
Hip Bohemian Artist's Studio,Entire home/apt,78,2,435
Modern condo in Art District (30 day minimum),Entire home/apt,79,30,120
Private Studio  Oakland Hills  Montclair District,Entire home/apt,88,3,133
Temescal - 2 Bedroom Craftsman - Great Location,Entire home/apt,138,4,28
In-Law Apt in the Oakland Hills,Entire home/apt,103,2,90
Garden Cottage on Tree-Lined Street,Entire home/apt,115,2,169
Shelter n place n private Temescal cottage,Entire home/apt,75,1,139
Quiet Sunny  Studio  in Top Fl Flat,Private room,69,14,17
Quiet sunny family-sized garden apt,Entire home/apt,99,30,8
Landmark Craftsman Mansion,Entire home/apt,2500,4,8
Stylish bungalow near hospitals  freeways & BART,Entire home/apt,323,3,16
Rockridge Private 2 BR Artsy Upper Flat Walk to TJ,Entire home/apt,149,3,155
Sunny bedroom w/ Tuscan patio view,Private room,75,7,11
Extra gluten and free bed bugs!,Private room,54,1,368
Modern Redwood Oasis in Rockridge,Entire home/apt,245,4,34
Cozy Room in 107 year old Oakland home!,Private room,49,7,50
Sunny craftsman home in Rockridge,Entire home/apt,349,3,4
Charming Cozy Canyon Condo,Entire home/apt,2400,365,28
Luxurious Retreat-Berkeley Hills,Private room,234,21,24
Live in a Grove of Redwood Trees,Entire home/apt,85,30,28
Montclair Private Garden Studio,Entire home/apt,89,2,219
Yellow door studio Oakland Hills,Entire home/apt,85,2,247
fab rockridge apt: new bed & 4K 50  TV,Entire home/apt,88,7,30
Lovely! 20 min's from San Francisco,Private room,79,1,18
Beautiful 1+BD In Laurel/Fruitvale,Entire home/apt,315,3,4
Charming Sunny Designer Apartment,Entire home/apt,220,5,26
Sweet Oakland Bungalow,Entire home/apt,100,2,17
Urban Retreat-Oakland 1 block away,Entire home/apt,166,3,150
Lg Master Bdrm Ste in beautiful Piedmont,Private room,103,3,74
Luxurious Bedroom Suite,Private room,135,1,1
Lovely 2 Plus BR Home w/Garden,Entire home/apt,204,3,78
Boutique Garden Apartment-Temescal,Entire home/apt,135,2,343
Foreign & Domestic travelers aloha!,Private room,85,2,36
A Beautiful colonial home,Private room,108,3,2
Artful (DISINFECTED!) Home - Convenient Location,Entire home/apt,74,10,34
Sunny Room  Full Bath  Own Entrance,Entire home/apt,75,3,88
Super Clean and Modern Loft,Entire home/apt,95,180,10
Kid-Friendly Spacious Home  Sleeps 3 + Kids,Entire home/apt,240,3,23
Comfortable Guest Room: Make yourself at home!,Private room,90,1,394
Oakland CA (Rockridge) Studio,Entire home/apt,143,3,89
Upper Rockridge @ Buena Vista st.  College Ave.,Entire home/apt,175,30,59
Apartment of Merritt,Entire home/apt,110,10,89
Lovely Home near SF and Berkeley with Stunning Vi,Entire home/apt,145,3,68
Gorgeous apartment in Rockridge,Entire home/apt,128,2,288
Clean & Cozy Apt. in North Oakland / Emeryville,Entire home/apt,90,1,382
Beautiful & Cozy Chef-centric Apartment,Entire home/apt,139,2,10
Oakland Backyard Studio Apt,Entire home/apt,110,1,520
San Francisco Bay and Beyond Views. Modern unit!,Entire home/apt,244,2,32
Private Room in Idyllic Craftsman,Private room,41,1,198
Sunny Rm Near Temescal and Piedmont,Private room,88,2,193
Sunny  Hip  Urban Cottage - Thanksgiving 2020!,Entire home/apt,310,7,26
Home in Montclair  Oakland Hills,Entire home/apt,400,3,27
Bright  Lofty Penthouse  steps to lake and park!,Entire home/apt,109,30,4
Live Work Studio/Gallery,Private room,100,1,0
Incredible San Francisco Bay Views,Entire home/apt,300,180,0
Private Room in Modern Sunny Home,Private room,68,2,8
Rockridge Cottage with Great Access,Entire home/apt,95,1,82
Wooded In-Law,Entire home/apt,107,4,367
Craftsman owner's unit in duplex,Entire home/apt,104,5,52
Detached Modern Garden Cottage / Like a Tiny Home!,Entire home/apt,90,3,47
ROCKRIDGE GEM -- private  quiet,Entire home/apt,125,3,346
Live among the Redwoods,Private room,80,3,0
Designer Live/Work Artist Loft,Private room,94,60,56
Quiet sunny Victorian playhouse,Private room,59,2,33
Surrounded by the park yet close to,Entire home/apt,350,2,40
LOVELY  QUIET OAKLAND HILLS HOME,Entire home/apt,150,2,0
Lovely home  hot neighborhood!,Entire home/apt,110,7,3
Morning Room in North Oakland charmer,Private room,47,2,107
♡ The MINIMALIST - Modern | Zen | Minimum Impact ♡,Entire home/apt,145,3,160
Room for your SF/Bay Area vacation,Private room,60,1,71
Main bedroom great yard & sunsets,Private room,55,1,12
Sunny Garden Bedroom W/Private Bath,Private room,85,14,10
Terrace Street Guest Room,Private room,67,2,99
Classic Craftsman home Oakland,Entire home/apt,158,10,40
Peaceful Grand Lake condo,Entire home/apt,105,6,116
Beautiful Oakland Hills 3/2 House,Entire home/apt,195,3,134
1 Bedroom Apartment near Lake Merritt,Entire home/apt,111,3,67
Opposite of flat.,Entire home/apt,80,1,491
Backyard Cottage/Oakland Foothills,Entire home/apt,135,7,22
Unexpected home minutes from SF - G,Private room,80,2,109
Blue Room in N. Oakland Charmer,Private room,55,2,52
Lake Merritt Jr 1 Bedroom + Shared Parking,Entire home/apt,64,15,47
3  Bed Craftsman Home  near Lake Merritt,Entire home/apt,350,2,58
King bed  nice bathroom  parking  great area,Entire home/apt,125,30,20
Prirave Room/Bath Ent HotTub Fast WiFi Workspace,Private room,79,2,209
2 bedroom 2 bath Lake Merritt apt,Entire home/apt,185,30,49
Globally Exotic Spiced Apartment,Entire home/apt,139,1,221
Private room w/ full house,Private room,37,5,57
Vintage Sunny 1bd on Lake Merrit,Entire home/apt,135,2,42
Beautiful studio+Office w/ Hot Tub!,Entire home/apt,95,6,24
