name,room_type,price,minimum_nights,number_of_reviews
Stay-Awhile  at Lovers Pt. Pacific Grv,Entire home/apt,163,29,68
Ocean front 6-bedroom masterpiece,Entire home/apt,1200,3,98
Pet-Friendly* Cottage Near Beach for 30+ day stays,Entire home/apt,188,30,951
Top Rated Ocean View Spa Fireplace,Entire home/apt,350,30,236
Ocean View Townhome at Lover's Pt.,Entire home/apt,506,30,247
Beautiful Villa With Ocean View,Entire home/apt,378,1,192
John Steinbeck's Cottage 30-Night Minimum Stay,Entire home/apt,100,30,218
Aspen Room at Asilomar Beach License # 0450,Private room,99,2,154
Modern Beach House,Private room,215,1,385
Lovely House in Pacific Grove (Long term rental),Entire home/apt,264,30,469
The Monarch Home - Cozy & Relaxing,Entire home/apt,150,30,451
The Little Blue House,Entire home/apt,180,30,566
Casa Rustica  Walk to Aquarium Cannery Row Rest,Entire home/apt,185,30,52
Peaceful Cozy Beach Cottage,Entire home/apt,206,28,382
Penthouses Walk to Beach  4 Aquarium Passes,Entire home/apt,642,3,42
Little Lighthouse — Ocean views & close to town!,Entire home/apt,232,31,184
Lighthouse Cottage—Ocean Views & Close to town,Entire home/apt,349,31,284
Pacific Grove Craftsman Getaway with Breakfast,Private room,132,1,592
Peaceful Space near DLI + Cannery Row,Private room,122,5,236
Rustic Pacific Grove Cottage By The Sea (Lic 0443),Entire home/apt,243,2,27
~Charming Cottage  Walk to town & Beaches~,Entire home/apt,165,29,88
Driftwood Cottage,Entire home/apt,85,31,127
#JewelboxCottages*Courtyard*Firepit*Pergola*Grill*,Entire home/apt,229,30,126
Victorian Retreat,Private room,200,30,0
Gable Room - Seven Gables Boutique Hotel,Private room,279,1,10
Bungalow-by-the-Sea,Entire home/apt,364,3,101
Historic Stylish Beach House,Entire home/apt,251,30,154
Beautiful Home Beach/Forest Area,Entire home/apt,135,31,106
1/2 Block to Ocean-Sea View Cottage: 2 Bedroom House - Seven Gables Boutique Hotel,Entire home/apt,489,1,17
Nice 1 bedroom apt with pool,Entire home/apt,89,49,0
Chautauqua Room - Seven Gables Boutique Hotel-ADA Room,Private room,209,1,16
Romantic Private  Master Suite & Gardens #0427,Private room,265,2,32
Quaint Pacific Grove/Pebble Beach,Private room,107,1,506
Charming Victorian Home Near Beach,Entire home/apt,398,2,93
Cottage Retreat Steps from the Sea,Entire home/apt,282,1,311
Guest House 5 minutes to Asilomar and Pebble Beach,Entire home/apt,195,3,53
Dolphin House *30 day minimum stay* great location,Entire home/apt,135,30,115
Pacific Grove/Pebble Beach/Monterey/Carmel,Entire home/apt,157,21,186
No shared space! Private room/bathroom! PGLic#0405,Entire home/apt,103,1,516
Central to Everything - Casa Mariposa,Entire home/apt,325,30,34
Heart of PG Cottage,Entire home/apt,268,6,272
Ocean View At Lovers Point Mermaid Cottage #02204128,Entire home/apt,115,1,31
Lovers Point Beach House  Perfect Location #0125,Entire home/apt,559,3,32
Ocean Front  on Ocean View Blvd,Entire home/apt,246,30,117
Gorgeous View of Ocean and Golf Course,Entire home/apt,225,30,0
Adorable Sea House,Entire home/apt,482,3,87
Asilomar Ocean Retreat,Entire home/apt,419,30,22
Rosie's View,Entire home/apt,289,2,176
Pacific Grove Post-Adobe Cozy Charmer 2/1 #0387,Entire home/apt,225,3,159
Laurel Cottage,Entire home/apt,105,30,167
Long term/month to month Cottage In Pacific Grove,Entire home/apt,100,30,0
Mermaid Beach House  Walk to Beach / Aquarium!,Entire home/apt,474,2,148
Outback Bungalow,Entire home/apt,287,3,108
3743 Pelican Peaks ~ Walk to the Aquarium  the Beach & Downtown,Entire home/apt,429,29,5
3746 The Guest House ~ Updated Interior  Walk to Town  Beach  Aquarium!,Entire home/apt,184,29,6
3729 Ocean Park Sanctuary ~ Walk to Beach & Downtown  Updated Victorian House,Entire home/apt,184,29,8
3709 Lover's Point Beach Retreat ~ Ocean Views  Steps to Lover's Point,Entire home/apt,171,29,2
3704 Ship's Watch ~ Walk to Town! Charming Historic House!,Entire home/apt,219,29,16
3723 Casa Mar ~ Convenient Central Location  Updated Pacific Grove Home,Entire home/apt,184,29,4
3715 - Bliss by the Sea ~  Close to the Beach  Trails & the Aquarium!,Entire home/apt,184,29,7
3717 Butterfly Landing ~ Large Oak Tree Lot with Bay View ~ Walk to Town,Entire home/apt,230,29,3
