name,room_type,price,minimum_nights,number_of_reviews
Alberta Arts 2 bedroom suite  charming 1906 house,Entire home/apt,75,2,551
Charming Roseway Bungalow,Entire home/apt,95,3,0
Lovely SW Victorian w/Bonus Room and Hot Tub,Entire home/apt,200,2,53
Mt. Hood View in the Pearl District,Entire home/apt,100,30,123
Friendly Guesthouse / 10 Min to Airport & Downtown,Private room,59,30,274
Grandpa's Bunkhouse-Backyard Studio,Entire home/apt,169,3,226
Auntie's Hideaway--Daylight Downstairs Studio,Entire home/apt,129,3,191
Perfect Portland Place,Entire home/apt,120,30,10
Mt. Tabor Bungalow,Private room,60,2,158
Hip  Lively Neighborhood  Spacious Apt.,Entire home/apt,189,2,263
Historic Home Located in Central City,Entire home/apt,425,4,31
Charming Eastmoreland Suite  Pets Okay   Hot Tub,Private room,35,2,84
Sunny Queen Room FUN Alberta Arts,Private room,31,30,63
Room in Vintage Alberta Bungalow,Private room,60,2,169
Warm + Cozy Apt nr Dining/Alberta/Bus,Entire home/apt,70,1,491
Egregiously SE Portland - Clinton,Entire home/apt,175,2,203
Beautiful Apt near City Center!,Entire home/apt,175,1,183
Bright Friendly Home- Alberta Arts,Private room,30,30,65
Piedmont Cottage on Peninsula Park,Entire home/apt,55,30,265
Beautiful Newly-Remodeled Apartment,Entire home/apt,101,2,218
Second floor garden apartment,Entire home/apt,85,2,68
Garden Hideaway near City Center!,Entire home/apt,99,1,118
Upstairs  studio with bath  fridge,Private room,65,3,75
Luminous  Cosy Home near lively SE Division Street,Entire home/apt,77,7,24
Great Breakfast next to lively Division St,Private room,50,2,320
Foodie's Paradise & Everyone's Playground!,Entire home/apt,89,5,81
Authentic Portland Flavor  Central!,Private room,49,30,43
Entire Home + Cottage • A Painted Lady Inn • 6 Bed,Entire home/apt,496,1,81
One Bedroom Artists Loft - Close to EvErYtHiNg,Entire home/apt,145,14,49
Amazing Location in NE  Opal 28 - King Suite #3,Entire home/apt,70,2,180
Blues brews and bicycle guesthouse,Private room,65,2,95
large  sunny room in farmhouse,Private room,65,30,45
Private  sunny room in farmhouse,Private room,65,2,30
Large COMFY Room in Alberta Arts,Private room,30,30,58
Private ENTRY-BATH-TWO BEDS/deck  river views-WOW!,Private room,55,2,97
Pretty SW  Garden Apt. w Hot Tub,Entire home/apt,100,31,8
Venue/Event Space : UNION/PINE,Entire home/apt,750,1,12
Rustic Tiny Home w Sleeping Loft in hip Woodlawn,Entire home/apt,69,1,476
Opal 28 an Intimate Event Space in NE PDX,Entire home/apt,675,1,1
Northwest Portland Urban Retreat,Private room,95,7,8
Condo in the Courtyard,Entire home/apt,68,30,32
Mt. Tabor private apt in ideal SE location,Entire home/apt,51,2,330
GUEST SUITE SURROUNDED BY NATURE,Entire home/apt,75,2,102
Cheerful  musical  eclectic home,Private room,34,30,28
Japanese cabin + in fine-dining village,Entire home/apt,125,2,217
Sellwood Music Suite,Entire home/apt,86,2,271
The Heart of Multnomah Village,Entire home/apt,120,2,150
S.W. Portland Farmhouse Cottage,Entire home/apt,185,3,81
Newly Renovated & Cozy  Opal 28 Queen Suite #1,Entire home/apt,70,2,151
Vintage Meets Modern  Opal 28 King Suite #4,Entire home/apt,71,2,214
Eclectic cottage & bath house/SE Portland,Entire home/apt,68,2,53
Quality Comfort Beautiful 1915 Craftsman,Entire home/apt,240,3,195
Portland Soul  Central! Porch Time!,Private room,35,30,37
Alberta Arts Room Overlooking Verdant Backyard,Private room,55,30,101
