name,room_type,price,minimum_nights,number_of_reviews
Secluded 1750's home on 46 acres,Private room,65,1,37
Adorable Beach Cottage Scarborough Beach RI,Entire home/apt,100,4,3
Sanctuary in the Suburbs,Entire home/apt,71,1,146
Bedroom In a large Victorian Home,Private room,51,1,372
Waterfront Narrow River Spring Summer Fall kayaks!,Entire home/apt,352,7,88
Great Apartment in East Providence,Entire home/apt,89,2,369
Charming Guest House on Sakonnet Point,Entire home/apt,279,7,49
Tiverton 4 Corners Schoolhouse No.1,Entire home/apt,215,1,110
Newport's  Sweet Spot  - single  private room,Private room,85,1,191
An oasis in the heart of Newport.,Private room,176,2,237
Garden Apt Downtown on Thames st.,Private room,250,2,48
Rose Suite,Private room,225,2,58
Blue Suite,Private room,225,2,50
Conanicut Is.  In-Town 2,Entire home/apt,800,4,53
across street from private beach,Entire home/apt,214,7,1
Rural Rhode Island Get Away,Private room,61,2,30
Victorian House in Newport Walk to Town or Beach,Entire home/apt,986,2,39
Downtown Center Newport Apartment,Entire home/apt,124,2,48
Downtown Mansion Near Beach-Last minute deals,Entire home/apt,3007,2,22
Charming Guest Room off Broadway,Private room,124,2,15
Lux Two bedroom roost,Entire home/apt,84,2,130
Charming  Impeccable 1B Condo,Entire home/apt,166,14,16
Downtown room near hospital,Private room,55,2,11
Beautiful Room in Historic Inn,Private room,368,2,4
Luxury Room in Historic Mansion,Private room,442,1,1
 Super Sleep-Over  in Newport - unlimited.,Private room,97,1,210
Private  comfy BNB in Victorian,Private room,100,1,351
Beautiful Victorian in Newport,Private room,96,2,247
Narragansett-Middlebridge Narrow R.,Entire home/apt,145,6,56
Bright & Spacious Room  Charming Cape,Private room,45,1,42
country home in garden near beaches,Private room,125,2,36
furnished efficiency,Entire home/apt,65,2,22
Trinity School House,Private room,250,2,88
Summer Rental in Bonnet Shores RI,Entire home/apt,276,3,41
Scenic Historical Bristol.....,Entire home/apt,400,2,10
3BR Townhouse   steps from Narragansett Beach!,Entire home/apt,330,30,1
Newport Wyndham Inn on the Harbor,Entire home/apt,150,2,4
Rustic Private Island Cabin on Lake,Entire home/apt,349,1,103
Amazing 3 Bedroom Beach House  1 Mile to the Ocean,Entire home/apt,285,3,14
Farm on the Coast - Near Newport,Entire home/apt,140,2,477
3 Bedroom Summer House  Steps from the Ocean,Entire home/apt,299,6,14
Historic luxury 2 bdrm apartment  downtown Newport,Entire home/apt,250,2,40
LargeRoom  Great Area  NearColleges,Private room,61,2,207
Charming secluded 1800's cottage,Entire home/apt,200,3,28
Cozy Boho Apt in Historic Waterfront Village,Entire home/apt,105,10,180
Priv Room with Priv Bath Jan-May 2021 30 day min.,Private room,32,30,50
Minutes from Beach! Beautiful & Cozy Home !,Entire home/apt,350,3,10
Charming Cape Cod  Bright  5 Bedrooms  Deck  Yard,Entire home/apt,350,3,3
Antique Dealer's Gentleman's Farm,Entire home/apt,400,7,25
18 Church Street,Entire home/apt,270,2,26
Center Rd Apartments Block Island,Entire home/apt,346,2,51
Block Island Studio Apartment,Entire home/apt,274,2,73
Goat farm on a lake close to Westerly  RI beaches,Entire home/apt,136,2,133
Plum Beach  North Kingstown RI,Private room,125,1,140
Liverpool Villa  Newport's Finest,Entire home/apt,112,2,263
Fantastic One Bedroom Apartment ful,Entire home/apt,81,2,249
Newport 1845 House,Entire home/apt,304,1,50
Amazing 2 Bedroom Beach House  1 Mi to Ocean!,Entire home/apt,300,6,7
Book a room in a Boutique  luxury   B&B,Private room,1243,2,6
Quiet Rural and near Fogland Beach,Entire home/apt,266,6,0
Newport garden cottage. Walk to Beach.,Entire home/apt,221,3,52
Spacious Block Island Beach House,Entire home/apt,600,2,27
Private room  bath  parking,Private room,78,1,768
East Side Private Apt walk to Brown,Entire home/apt,120,2,193
Scarborough Beach  Narragansett RI,Entire home/apt,344,7,23
Studio Space on the Point (30 Day Minimum),Entire home/apt,45,30,38
Lux 3BR+ home w/Views-Bonnet Shores  Narragansett,Entire home/apt,272,4,30
Historic Jamestown Home,Entire home/apt,263,4,63
Private Bedroom and Bath  Lounge,Private room,143,2,125
Moondance Lane-Narragansett Pier-2 bedroom apt.,Entire home/apt,125,3,209
Cozy 3-bedroom Hse Near 2 Beaches!,Entire home/apt,495,3,1
Central Downtown Newport House,Entire home/apt,409,2,269
Historic Firehouse Loft,Entire home/apt,249,2,48
Artist Home in Historic Elmwood,Private room,80,2,95
3 Bedroom Family Beach House  1 Mile to Ocean!,Entire home/apt,320,3,8
QueenSize Bedroom with private bath,Private room,99,5,81
Island Retreat near Newport,Entire home/apt,109,3,169
Small bedroom in private home.,Private room,86,1,1
Walk to beach from 2 bdrm vintage cottage,Entire home/apt,264,3,72
Newport Boutique Hotel w/ Parking,Hotel room,158,1,53
Fabulous two bedroom pied'de'terre,Entire home/apt,107,2,185
Amazing ocean views. Walk to beach. 3 bedrooms,Entire home/apt,296,2,70
Monthly rental. Walk to Beach. Garden setting.,Entire home/apt,314,28,65
MOONSTONE BY THE SEA.. Country  by the Sea.......,Entire home/apt,671,3,28
College Hill Apt Walk To Brown/Risd Wayland Square,Entire home/apt,70,21,67
Private Room with Dedicated Bath,Private room,99,5,74
Newport Cottage Newly Updated,Entire home/apt,500,7,8
Cheerful Inviting 2nd Floor- Close to Everything!,Entire home/apt,120,1,470
The Barrington Cottage  - seaside near Providence!,Entire home/apt,160,2,3
King Apartment w/ Private Entrance,Hotel room,186,1,90
Serene Cottage By the Bay Orange Rm,Private room,129,2,80
Sailor's Loft in Historic Firehouse,Private room,264,2,44
Magnificent Historic In Town Victorian,Entire home/apt,284,3,109
Gardenview B&B,Private room,206,1,39
Gorgeous Suite in Designer's Home!,Private room,341,2,59
fireplace  sauna  2 person jacuzzi&steam shower,Entire home/apt,251,2,89
Serene Cottage By the Bay Green Rm,Private room,143,2,86
Narragansett w/ Community Dock,Entire home/apt,300,4,52
Modern  Efficiency Fed Hill Loc!,Entire home/apt,58,60,19
Luxury  Condo Loc  Federal Hill,Entire home/apt,140,45,25
Beautiful Views  Private Location,Entire home/apt,614,4,2
Waterfront Ocean Barrington,Entire home/apt,326,2,129
Rustic Island Cabin in RI,Entire home/apt,190,2,200
Pvt Rm in Shared NewportTownhouse,Private room,31,30,49
In-Town Sunny Loft w/ en Suite Bath,Private room,201,2,63
Studio Apartment in Newport Center,Entire home/apt,167,2,43
Ocean Front Manse,Entire home/apt,1500,2,9
Private Entrance & Bathroom/Bright  Cheery Suite,Private room,128,2,144
Bittersweet Farm Upscale & Private!,Entire home/apt,757,1,113
Spacious Newport Home Near Downtown,Entire home/apt,1057,2,73
Cozy Guest House w/Private Entrance,Private room,75,2,64
Beautiful  Sunny Victorian in BEST neighborhood,Entire home/apt,175,3,151
Ross House,Entire home/apt,1557,1,69
Beautiful Rm  Quiet  Central Longer term avail,Private room,99,1,280
Small Cozy Room Loft Bed up ladder. Longer term,Private room,35,1,383
Jamestown Conanicut Island Retreat,Entire home/apt,252,3,26
Skylite Loft,Private room,75,2,66
“Rosie” - Gracie Mansion  @ 525 Thames St unit 2,Entire home/apt,170,2,182
Reduced! 20% off Room for 6 in Heart of Newport!,Entire home/apt,400,7,2
Best Location on College Hill,Private room,70,2,317
1 bdrm cottage. Walk to Beach. Garden setting.,Entire home/apt,194,3,73
Newport RI Private bedroom and bath,Private room,995,1,195
Comfy bedroom in cute house,Private room,97,1,358
Wayland Square Private Aerie,Private room,95,2,89
Heart of Downtown Newport,Entire home/apt,486,3,38
Luxury Newport Harbor Condo with Waterfront View,Entire home/apt,579,2,23
Spacious Suite in Newport Victorian,Entire home/apt,246,1,163
Victorian  Room with Garden view,Private room,65,1,179
Nice Bedroom in Cute House,Private room,90,2,165
"Quiet Coastal Contemporary 
Gourmet Breakfast",Private room,86,1,201
Luxury  Newport Harbor Condo with Water View,Entire home/apt,579,2,20
Charming tiny penthouse!,Entire home/apt,144,5,111
Willie's House!,Private room,150,2,73
3-4 bdrm   sleeps 7 isolation near quiet beach,Entire home/apt,232,3,9
Designer Island Cottage + walk to beach,Entire home/apt,250,2,30
Private In-Law Apartment by Beach,Entire home/apt,207,3,108
Close to 70 restaurants  downtown and the Harbor,Private room,127,1,77
2 Bedroom Suite close to town. Parking included.,Entire home/apt,268,1,31
Enjoy Rhode Island-Central to all,Private room,72,14,35
Gorgeous cottage on pristine lake,Entire home/apt,162,2,201
Thrifty B&B in Quiet Harbor Village near Downtown,Private room,275,1,13
2 Bedroom Suite near town with parking included.,Entire home/apt,657,1,10
walk/shuttle 2 Jazz Fest book instantly 3 nite min,Private room,175,1,225
Harbor View Suite  priv entrance deck  bath & food,Private room,76,1,166
A Room  a Garden  and Yoga,Private room,60,1,114
Sunny Cottage in Jamestown Village,Entire home/apt,311,7,27
Ruby Room in Elegant and Historic Newport Mansion,Private room,138,2,83
Sapphire - Newport Mansion,Hotel room,127,2,82
3 Bedrooms  in DT Newport! Off-street parking,Private room,180,1,74
Loft Style Beach Condominium - Newport,Entire home/apt,457,3,104
Comfortable and Spacious in PVD,Private room,89,14,20
Cozy Cottage in Bonnet Shores,Entire home/apt,215,5,15
Wonderful 2 bdrm getaway,Entire home/apt,180,2,76
Quiet and Comfortable Stay,Private room,45,2,179
Downtown Newport,Private room,173,2,108
3 bdrm Newport home near everything,Entire home/apt,350,3,20
Walk to downtown NPT.Bedroom & Bathroom Private,Private room,180,2,25
College Hill Colonial,Entire home/apt,360,2,60
Private Cape on Secluded Laneway. Great location.,Private room,450,7,8
Charming East Side Home near Brown,Entire home/apt,426,14,13
WAYPOINT 4Beds  3Baths w/Parking- Downtown NPT!,Entire home/apt,986,2,34
Charming Beach House-Ocean View!,Private room,250,2,70
winter rental available,Entire home/apt,550,3,21
Rooms for rent on golf course,Private room,92,1,7
Fabulous East Side Studio  walk to Brown,Entire home/apt,150,3,34
Beautifully detailed on East Side  walk to Brown,Entire home/apt,225,3,19
Lovely Tuscan-inspired steps to Brown,Entire home/apt,170,3,31
Fabulous East Side apartment walk to Brown,Entire home/apt,145,3,8
Southern-inspired perfection  walk to Brown,Entire home/apt,160,3,25
Fabulous 1 bedroom near Brown,Entire home/apt,150,3,13
Stately 2 bed  2 bath  East Side steps to Brown,Entire home/apt,295,3,9
Spacious Bedroom in Historical West End Apartment,Private room,45,30,213
Potters Pond Cottage  walk to East Matunuck  MOB,Entire home/apt,214,2,13
Picturesque Sunsets on the Cove,Entire home/apt,725,3,10
1st Fl  Spacious  Walk to everything,Entire home/apt,95,32,8
HISTORIC EAST GREENWICH VILLAGE,Entire home/apt,85,2,94
Newport's Dearborn House: The B&B Eastlake Room,Private room,130,2,188
Spacious Private Suite in Newport,Private room,193,2,39
Comfortable Private Suite in Heart of Newport,Private room,179,2,67
Historic Victorian Mansion Suite 4,Private room,40,28,7
Oceanfront:Private Beach- New Central air/heat.,Entire home/apt,256,7,18
1 932 sq. ft. Industrial Chic Condo-Great Location,Entire home/apt,254,2,50
Cozy loft in Providence,Entire home/apt,104,2,346
Providence Area  Large Bedroom,Private room,49,1,137
Providence area  Near East Side,Private room,44,1,282
Modern 2 Bed Condo Steps to Historic Attractions,Entire home/apt,571,2,27
Point Judith house  some ocean view,Entire home/apt,207,5,29
George Cole House eight day minimum,Entire home/apt,139,5,288
Fashionable roost,Entire home/apt,71,2,136
Spacious Victorian in the Pier,Entire home/apt,650,2,36
Quonochontaug Beach House!,Entire home/apt,525,7,5
Clamalot Cottage,Entire home/apt,135,2,18
Beachy hideaway! Comfy 2 Bedroom Garden Apartment,Entire home/apt,104,2,114
Carey Street Guesthouse  The Sun Room,Private room,94,1,434
Great apartment in great town!,Entire home/apt,250,2,11
Carey Street Guesthouse  The Beach Room,Private room,114,1,378
Spacious Room ~ B&B on Bellevue Ave,Private room,135,2,91
Queen Canopy near the mansions!,Private room,135,2,115
Little Compton sunny home in a private meadow,Entire home/apt,320,7,3
Sunny Open Space Loft,Entire home/apt,70,28,197
Comfy  Cozy City flat,Entire home/apt,176,2,111
Waterfront house in Warwick RI,Entire home/apt,400,2,124
Rhode Island Oceanfront Beachhouse,Entire home/apt,407,4,2
Classic Ranch 3BDRM single floor plan  Home,Entire home/apt,169,4,85
Long-term ready  roomy  W/D  5BR near hospitals,Entire home/apt,300,28,80
Newport Cottage  - The Barn,Entire home/apt,236,7,73
Large Bedroom  Bathroom and Lounge,Private room,160,2,91
The Palm Tree,Entire home/apt,110,2,162
Conanicut Is.  In-town,Entire home/apt,400,4,34
Wyndham Inn on the Harbor Newport 1 Bedroom 3 Nite,Entire home/apt,350,3,1
Private  clean & cozy cottage.,Entire home/apt,219,3,64
Historic Victorian Mansion - Suite 8,Private room,44,30,3
1 BEDROOM SUITE-PRIVATE SPACE,Hotel room,108,1,77
Apt in downtown historic Newport!,Entire home/apt,84,28,18
Master suite,Private room,120,1,71
Beach View House steps to Beach-Newport 12 beds,Entire home/apt,923,1,73
Luxury Gated Home near Newport & Beaches. 12 beds,Entire home/apt,1004,1,137
IN TOWN Close to Beach & Watch Hill,Entire home/apt,425,4,25
Sakonnet River Cottage: A Reader's Retreat,Entire home/apt,195,14,84
3 BR/2 BA RI Summer Get Away!,Entire home/apt,200,4,15
“Alice” - Gracie Mansion @ 525 Thames St unit 3,Entire home/apt,166,2,112
40 ft Houseboat-Downtown Providence - Heated,Entire home/apt,159,1,217
Quaint  Comfortable Pond front Cottage,Entire home/apt,67,30,0
1 bedroom cottage  sleeps 4  walk to quiet beach,Entire home/apt,154,2,5
Waterview with Private Beach in private compound,Entire home/apt,383,4,40
 Yachting Village Apartment  at Dearborn House,Entire home/apt,100,30,15
Beautiful Room in Historic West Side Home,Private room,80,1,43
Salvation Loft off Broadway  Newport,Entire home/apt,245,2,116
Easton's Point Beach Cottage,Entire home/apt,279,3,0
Great Corporate Rental/Adjacent Conservation acres,Entire home/apt,114,7,10
Immaculate 3BR in unique location!,Entire home/apt,295,2,18
Sunny Room on Bellevue Ave.,Private room,125,2,152
Waterfront home,Entire home/apt,714,3,0
Cute attic apt with roof deck,Entire home/apt,210,2,204
Beautiful Apartment in Newport Home,Entire home/apt,91,1,254
Unique 4BD home on private estate,Entire home/apt,695,3,29
Charming 3 br apartment/East side,Entire home/apt,155,2,31
Atlantic St. Guesthouse Monthly Discounts Inquire,Entire home/apt,343,1,188
Beautiful Home Close To Downtown!,Private room,93,1,128
Jamestown RI Apartment in the Heart of the Village,Entire home/apt,245,2,34
Westerly Shore Retreat,Entire home/apt,140,5,20
Little Rosa Cottage  close to Newport,Entire home/apt,175,2,77
Expanded Ranch in Narragansett,Entire home/apt,264,2,67
Shingle Style Home  Pool and Pond,Entire home/apt,939,7,1
Large Cozy Private Beach House (monthly rentals),Entire home/apt,500,7,1
Step back into the 17th Century!,Entire home/apt,212,3,27
