name,room_type,price,minimum_nights,number_of_reviews
SOLAR ECLIPSE - A,Private room,175,2,2
Quiet and cozy home in South Salem.,Private room,50,1,192
Quiet and cozy home in South Salem,Private room,50,1,2
Warm and Welcoming in Downtown.,Private room,44,2,103
Century House Doug Fir Room,Private room,89,2,84
Chauffeurs Room @ the Villa,Entire home/apt,98,1,332
Downtown Salem Loft in Salem Oregon,Entire home/apt,155,2,67
Single room in Comfort Home,Private room,65,1,2
WittsPad,Private room,107,1,0
Spacious Suite w/ Private Sauna and AC in City,Entire home/apt,99,2,341
Stylish  Private  Urban Guest House,Entire home/apt,73,1,399
Spacious home near downtown Salem,Entire home/apt,79,2,189
Immaculate home with Central AC in SE Salem,Entire home/apt,156,2,91
A. Relax in a Quiet Peaceful Historic House,Private room,65,1,143
West Hills Modern Luxury- Private Room & Breakfast,Private room,75,1,18
Home away from home,Private room,48,2,55
Peaceful Room In Salem Historic Neighborhood,Private room,65,1,124
House on the Corner,Private room,75,2,22
Private Suite 5 mins to Downtown/40 mins to Coast,Private room,52,2,289
Entire Guest Suite 2 BDR/PRVT Entry/Bath  S Salem,Private room,50,2,125
Ben Lomond House,Entire home/apt,252,2,88
Private Room five kilometers from Downtown Room 1,Private room,25,1,133
Vista Manor Peacock room. Queen bed ensuite bath.,Private room,49,1,482
Vista Manor master suite  King bed ensuite bath.,Private room,72,1,282
Cozy flat with office.  Garden/water views,Entire home/apt,205,90,1
Century House Cedar Room with lots of space  light,Private room,105,2,23
Pringle creek furnished flats,Entire home/apt,159,1,1
1920s Cottage - Walk in the Park  19-104415-LI,Entire home/apt,115,1,298
Cozy Bedroom in a townhouse,Private room,38,1,10
Motivation Room 4 In Quite Neighborhood,Private room,55,1,50
Bluff house,Private room,50,2,9
Perfect Eclipse stay.,Entire home/apt,1500,2,1
West Salem: Relax  Refresh and Room to sprawl,Private room,76,2,1
Country Garden Retreat,Entire home/apt,77,2,174
Cindy's Nook   Suite  w/Private Entrance & Sauna,Private room,75,1,230
Large Private  Waterfront Oasis,Entire home/apt,72,1,234
A,Shared room,199,1,0
Home is charming & cozy & clean & crazy cool!,Entire home/apt,88,2,27
Big home with pool  outdoor area,Entire home/apt,1400,3,0
Historic Cottage close to downtown for Eclipse,Entire home/apt,1000,2,1
In Eclipse Zone: Private Master Bedroom w/ Bath,Private room,505,2,0
Eastlake Place,Entire home/apt,1000,1,0
Sunnyslope Retreat - Private Entry  Fireplace & AC,Entire home/apt,89,2,101
WittsPad - Attic,Private room,222,1,1
Jefferson Garden Cottage: Clean and Sterile,Entire home/apt,143,2,82
Awesome new home in beautiful West Salem -,Private room,42,3,12
A,Private room,333,2,0
Classic Town Home on 50 acres of wetlands,Private room,65,2,1
great house for eclipse,Entire home/apt,300,2,0
**Private bedroom available SOLAR ECLIPSE,Private room,301,2,0
Private bedroom available for **ECLIPSE**,Private room,249,2,1
Sweet private suite and more,Entire home/apt,65,2,101
