name,room_type,price,minimum_nights,number_of_reviews
Ocean front condo on the sand,Entire home/apt,2050,3,0
Great home  10 min walk to Beach,Entire home/apt,225,4,61
Point Loma: Den downstairs,Private room,74,1,143
La Jolla 2 Bdr Cottage: 1 Qn; 2Twns  Blks 2 Ocn,Entire home/apt,135,3,234
charming  colorful  close to beach,Entire home/apt,69,1,609
Pacific Beach Cozy Private Unit Bikes Included,Entire home/apt,78,1,699
Canyon apartment hideaway,Entire home/apt,85,3,3
San Diego Living by JA 2,Private room,45,2,195
San Diego living by JA 1,Private room,50,2,154
La Jolla Retreat-Zen Lifestyle  More than a  Room,Private room,102,3,213
Gaslamp Room - Hillcrest House Bed & Breakfast,Entire home/apt,129,1,62
Felspar Townhome- Beach Living by Boardwalk & Pier,Entire home/apt,253,6,148
Cheery Yellow Beach House,Entire home/apt,178,3,19
Laid-Back Luxe San Diego,Entire home/apt,525,5,9
Tourmaline House - Steps to Beach  Pet-Friendly,Entire home/apt,275,2,157
Water View Studio in Pacific Beach!,Entire home/apt,77,30,25
Open - Studio Ocean View,Private room,109,3,40
Mission Bay Getaway  Near beaches! SUPER SANITIZED,Private room,58,3,199
MIKE'S PLACE - A PRIVATE  COTTAGE,Entire home/apt,125,3,580
Mission Bay Retreat Studio  near Beaches  La Jolla,Private room,56,3,69
Travel Twin Artist Retreat w/ Pool & Jacuzzi!,Private room,55,5,62
Traveler's Haven 2 - Central to all,Private room,55,2,53
Entire 3BR/2BA Condo in Beautiful Del Mar!,Entire home/apt,157,30,48
Upstairs Room/Pt. Loma,Private room,85,2,53
Beach Hide Out,Entire home/apt,157,29,446
Private bed&bath (sorry  closed for pandemic),Private room,77,1,98
Mission Bay Cottage - SAN DIEGO,Entire home/apt,90,3,188
Mission Beach Contemporary Home,Entire home/apt,390,3,93
Adorable South Mission Studio 5- 1block to Ocean,Entire home/apt,109,3,6
Sunny San Diego Home Near All,Entire home/apt,149,30,250
Ocean Beach  Ocean views  hot tub  garage parking!,Entire home/apt,158,2,355
"La Jolla/PB Ocean views! 
1 block to beach & surf.",Private room,109,13,33
Bohemian Beach House,Entire home/apt,196,29,169
LJ Village charming home with private pool & spa,Entire home/apt,450,3,147
Private studio  walk to the SD Zoo and Balboa Park,Entire home/apt,70,3,318
The Happy Little Cottage  just steps to sand...,Entire home/apt,152,3,156
Beautiful Ocean View & Torrey PInes Serenity,Entire home/apt,539,6,37
Room for rent in North Park Home near DT San Diego,Private room,60,1,84
Central San Diego At Your Doorstep One Bedroom,Entire home/apt,89,31,60
Private oasis w/ jacuzzi,Entire home/apt,200,2,288
Twin Corner Artist Retreat w/ Pool & Jacuzzi!,Private room,61,5,76
★70s VIBE★HUGE UNIQUE WOOD-PANELED ROOM with PATIO,Private room,75,1,43
Master Bed/Bath Artist Retreat w/ Pool & Jacuzzi!,Private room,88,5,53
Great Location  Modern and Affordable!,Entire home/apt,69,7,21
Great Location!  Super Central! Balcony Apartment,Entire home/apt,79,14,10
Bright  Ground Level  Designer  Studio Suite,Entire home/apt,69,7,13
Great Location!  Spacious and Elegant!,Entire home/apt,79,14,8
Fantastic Location!  Spacious and Elegant!,Entire home/apt,89,7,11
Luxurious and Affordable!  Economy Apartment!,Entire home/apt,75,14,30
Comfy Room Close to Everything !!,Private room,65,2,82
Comfy & Cozy Room for Travelers,Private room,65,2,35
Master Bedroom with Private Bath,Private room,85,2,4
Tropical Home Near Beach w/ Hot Tub,Entire home/apt,235,3,23
Private & Quiet Detached Cottage. No A/C,Entire home/apt,95,28,209
Quiet studio: King bed  AC  Washer,Entire home/apt,69,2,238
Sleek & Modern OB Condo 2+2 BCH,Entire home/apt,91,31,48
Bankers Hill Studio by Balboa Park,Entire home/apt,115,28,41
Hillcrest - (close to Zoo & Balboa Park),Entire home/apt,99,28,83
Private Floor to yourselves with game room,Entire home/apt,90,3,274
Pacific Beach San Diego Bay,Entire home/apt,159,3,16
Charming Beach Retreat,Entire home/apt,139,3,19
Super location   beautiful neighborhood,Private room,35,31,90
Twin Bed  Upstairs,Private room,122,1,50
Private Studio a few steps away from the beach,Entire home/apt,148,1,99
Mission Beach meets Mission Bay,Entire home/apt,161,1,79
Independent room in the back garden,Entire home/apt,70,3,149
Charming Ocean Beach cottage,Entire home/apt,119,3,49
Bauhaus Bungalow - Luxe Beach House w/ Ocean Views,Entire home/apt,270,3,252
Wonderful La Jolla Beach Retreat!,Entire home/apt,295,3,170
San Diego HOME  Beautiful --EAST -Bdrm,Private room,42,7,125
Charming & Centrally Located Apt,Entire home/apt,120,1,116
1925 Hillcrest home with large outdoor patio!,Entire home/apt,76,1,461
Walk to bay/downtwn  park BLUE ROOM,Private room,59,1,623
Condo in San Diego near downtown,Private room,50,30,123
