name,room_type,price,minimum_nights,number_of_reviews
Bright  Modern Garden Unit - 1BR/1BTH,Entire home/apt,131,2,262
Creative Sanctuary,Entire home/apt,235,30,111
A Friendly Room - UCSF/USF - San Francisco,Private room,56,32,19
Newly Remodeled room in big house WIFI market,Private room,45,5,85
Friendly Room Apt. Style -UCSF/USF - San Francisco,Private room,56,32,8
Historic Alamo Square Victorian,Entire home/apt,743,5,28
Mission Sunshine  with Private Bath,Private room,169,1,736
Victorian Suite in Inner Mission,Entire home/apt,200,30,337
Classic Nob Hill Studio - Roof Deck,Entire home/apt,120,30,18
Haight Buena Vista Park Garden 3BR,Entire home/apt,170,30,37
Victorian House in Hayes Valley - 3BED-2BA,Entire home/apt,166,30,15
Union Square Modern Loft,Entire home/apt,95,30,20
Sunny/Sunset view room UCSF/USF - San Francisco,Private room,65,32,6
Sunny/Sunset view room UCSF/USF - San Francisco,Private room,65,32,5
Perfectly located Castro,Private room,79,3,427
Views  sun  12 ft ceilings  decks  2BR work/sleep,Entire home/apt,150,30,18
Loft-like Apt./Garden (monthly only available),Entire home/apt,98,30,63
Lower Haight Urban Zen with private bath,Private room,130,2,415
Studio loft on top of Russian Hill,Entire home/apt,130,30,119
A Friendly Room Apt. Style-UCSF/USF-San Francisco,Private room,56,32,14
Castro Guest Suite With Continental Breakfast,Entire home/apt,155,3,412
Potrero Hill  Nest  Quiet  Comfy & Convenient,Private room,160,2,308
Castro/Haight San Francisco,Private room,79,1,204
San Francisco's Luxury Oasis Private Room On Noe,Private room,196,5,42
Modern Zen in the Lower Haight,Private room,110,2,446
Convenient  quiet  private,Private room,129,4,320
Huge Central Victorian/Alamo Square,Entire home/apt,480,3,35
Modernized Edwardian Apartment in the Castro/Eureka Valley,Entire home/apt,119,30,133
Secret Mission Garden,Private room,201,1,29
Sunny house with garden,Entire home/apt,171,4,17
gigi's bed and breakfast,Entire home/apt,175,2,68
Cozy  Sunny and Private Space,Entire home/apt,150,30,94
Bette's New Place,Entire home/apt,107,30,21
Comfortable Home Base  Bernal Heights,Entire home/apt,73,60,22
Cute Private Apt in the hip Mission,Entire home/apt,106,30,97
Sue's Place,Private room,130,3,263
Heart of San Francisco  the Mission,Entire home/apt,155,30,81
Guest Cottage - SF,Entire home/apt,125,30,150
Spacious Quiet SF Downtown Retreat,Entire home/apt,129,30,16
Garden View Hideaway - PET FRIENDLY,Entire home/apt,150,30,2
The Mission-Great Location,Entire home/apt,95,30,289
Easy parking & nearby public transp. Beautiful,Entire home/apt,78,30,33
One-bedroom apt.  Lafayette Park,Entire home/apt,104,30,28
Centrally Located Victorian Apartment,Entire home/apt,110,30,108
Prime Location - Small Cozy Room,Private room,54,30,163
Large & sunny room with bath + yard,Private room,95,3,145
Urban Rainbow: Artsy  Downtown Condo,Entire home/apt,149,30,233
Financial District Corporate Condo,Entire home/apt,174,30,19
Studio Apartment Lafayette Park,Entire home/apt,79,30,40
❤️Stunning Luxury Apt  5 star reviews  Laundry ,Entire home/apt,99,30,11
❤️ Super luxury Apt  Great View   5 Star Reviews,Entire home/apt,99,30,27
Prime Location - Large Private Room,Private room,45,30,125
Beautiful Alamo Park flat w deck,Entire home/apt,180,30,152
Bernal Heights Apartment  Patio + Parking,Entire home/apt,175,30,216
Bartlett Gardens: Spacious  bright!,Private room,99,30,122
Quiet Home in the Trees of Forest Knolls,Entire home/apt,329,2,4
$3500 2 room Condo near Downtown and Mission Bay,Entire home/apt,165,30,129
Ultra Panoramic View Contemporary,Private room,95,2,249
Garden Cottage Charming!,Private room,100,30,192
Lovely quiet private room in Home,Private room,100,60,1
Charming Victorian 3-Bedrms-2Baths + Free Parking!,Entire home/apt,325,4,210
Lovely Room in Charming Edwardian,Private room,85,2,37
GORGEOUS SAN FRANCISCO HOME,Entire home/apt,950,3,56
Lovely open plan en-suite bed/bath,Entire home/apt,118,2,360
Great room in a fantastic location!,Private room,90,30,68
Large garden studio  apt. near Golden Gate Park,Entire home/apt,75,30,99
Spectacular Sutro Heights,Entire home/apt,216,30,13
Beautiful 1bdr apt by Dolores Park in Mission,Entire home/apt,326,30,40
