name,room_type,price,minimum_nights,number_of_reviews
Private entrance/walk to Stanford,Entire home/apt,175,3,149
Palm Tree Cottage  Pacifica,Entire home/apt,120,30,2
MOST COMFORTABLE BED EVER,Private room,110,1,133
Burlingame  1 bed  & lounge apartment  close SFO,Entire home/apt,210,3,150
The Garden Cottage-a secluded nature retreat,Entire home/apt,125,3,256
MOST COMFORTABLE QUEEN BED EVER,Private room,110,1,46
Private Cottage with Chef's Kitchen & Washer/Dryer,Entire home/apt,119,30,43
Downtown Two Story Cottage,Entire home/apt,575,2,1
3 BR Home on Vineyard nr Palo Alto & Stanford,Entire home/apt,385,3,100
Lunetta Loft - PET FRIENDLY,Entire home/apt,135,30,5
Silicon Valley Home...Private Bath,Private room,100,1,412
Beautiful 4BR Home by Stanford Univ,Entire home/apt,713,29,13
Beautiful Belmont House (btwn SF and Stanford),Entire home/apt,325,3,27
House in San Francisco Peninsula,Entire home/apt,249,15,13
Large 2-story House Near Beach,Entire home/apt,175,30,0
Cozy Place on SF Peninsula,Private room,115,3,31
Private Bath & View in San Mateo Family Home,Private room,101,1,172
Comfy room private bath & breakfast,Private room,114,3,60
Lovely room near Stanford  for 1,Private room,90,30,147
Comfortable SF Peninsula Bedrooms,Private room,80,3,124
Welcoming SF Peninsula Room for You,Private room,80,3,132
SF Peninsula Bedroom with a View,Private room,75,3,123
Quiet   Private Studio / Cottage,Entire home/apt,99,2,229
Amazing Cottage Private Home,Entire home/apt,450,1,10
Sweet Studio -SF Peninsula,Entire home/apt,110,3,130
1 Private Bedroom & ensuite Bathroom in Belmont,Private room,82,6,4
Waterside-Private-Garden-by Silicon,Private room,80,1,68
Amazing View! Peaceful & spacious,Private room,150,1,36
BEACH APARTMENT NORTH OF SANTA CRUZ,Entire home/apt,130,7,400
The Park House- Spacious  Comfy Retreat,Entire home/apt,344,2,154
Great 2 bedroom house with large deck,Entire home/apt,105,2,79
1bed Apt with Parking and Views of SF City & Ocean,Entire home/apt,126,3,73
Private bed room/bath with wi-fi,Private room,85,1,211
Silicon Valley Private Bedroom,Private room,40,30,4
Charming White Oaks San Carlos Home,Entire home/apt,425,4,72
Modern Studio Apartment - South San Francisco,Entire home/apt,148,2,290
PRIVACY & COMFORT in Foster City!,Entire home/apt,80,5,21
SFO Bart Walk to Downtown  Light Breakfast Too!,Private room,79,1,357
TreeTops Coastal Retreat w/ HotTub_LongTermOk,Entire home/apt,536,5,83
Quiet  Clean  Tasteful  Convenient1,Private room,99,5,105
Private Guest Room / private entry,Private room,70,3,76
Life House,Entire home/apt,299,4,53
Tree-top studio--walk to Stanford,Entire home/apt,219,3,108
Garden Apartment on S F Peninsula,Entire home/apt,135,3,297
Spectacular Ocean View Ocean Colony,Entire home/apt,1400,2,6
Paloma Cottage under a tree,Entire home/apt,106,4,220
Man Cave Room 4 Sports Enthusiasts!,Private room,300,1,0
Beautiful room and private bath,Private room,109,2,31
Views Galore-like a treehouse. Your new office?,Private room,125,2,91
Attractive private bed & bath,Private room,89,5,59
fully furnished 1bed rental w/ bath,Private room,150,1,34
Beautiful Woodside Estate for Rent,Entire home/apt,350,7,1
Halekipa - Beautiful Guest Home with parking!,Entire home/apt,133,2,151
Cozy Garden Cottage in Menlo Park,Entire home/apt,116,7,99
A Travelers Rest in Redwood City,Entire home/apt,80,30,155
Garden view room with private bath,Private room,91,1,333
Exec Room in home nr Stanford Hospital/Sand HillRd,Private room,150,3,9
Ocean Views by Beach 3 bed+office (LT rental only),Entire home/apt,300,365,5
Private room (1floor) San Francisco,Private room,110,3,38
Private room (2floor) San Francisco,Private room,89,4,24
Beautiful Cottage by the Sea,Entire home/apt,145,14,14
Charming 3 Bd 2 Ba ~ Ideal Location,Entire home/apt,325,4,53
HackerHome - SFO/Caltrain/Bart female shared,Shared room,27,30,41
HackerHome - Millbrae Bart/Caltrain1 female shared,Shared room,27,30,36
HackerHome - Millbrae Caltrain 2,Shared room,27,30,27
HackerHome - Daly City: bunk 6,Shared room,30,2,18
HackerHome - Millbrae Bart/Caltrain,Shared room,26,30,42
Small cottage bedroom  beautiful home,Private room,65,1,296
HackerHome - Millbrae: private room1,Private room,50,30,20
HackerHome - Millbrae Bart/Caltrain,Shared room,29,30,38
HackerHome - Daly City: bunk 5,Shared room,28,2,41
HackerHome - Daly City: shared room,Shared room,25,2,30
HackerHome - Daly City: private rm,Private room,45,2,21
Sweeping View Private Spa Estate,Entire home/apt,1497,30,39
Modern home w/patio  walk to Palo Alto,Entire home/apt,150,3,22
