name,room_type,price,minimum_nights,number_of_reviews
Deluxe Studio 5 min.  to SC Kaiser & Apple Park,Entire home/apt,75,14,6
Bonsai Garden Inn in Professorville,Private room,80,2,264
Zen Office and Sofa in Palo Alto,Private room,100,7,148
Garden Room Oasis Walk to Stanford,Private room,85,2,206
Luxurious & Quiet Home near Main St  Cupertino,Entire home/apt,189,3,179
Private Studio  Bath  Entrance @ House of Chauncey,Private room,76,5,99
Private Room  Cozy Home Downtown SJ,Private room,70,1,184
Downtown MV perfection,Private room,150,2,170
Studio with a private bath and wet bar,Private room,55,2,6
Modern Private Mini Eichler Studio,Entire home/apt,70,7,93
PRIVATE & COZY GARDEN ROOM,Private room,120,30,58
B&B: Quiet Bedroom & Bathroom,Private room,89,1,146
Santana Row Modern Condo / Flat (Super Host),Entire home/apt,179,27,129
Family-friendly condo near downtown,Entire home/apt,150,300,0
ytstyle private room #3 for rent,Private room,51,5,142
ytstyle private room #1,Private room,55,5,140
Private PA Cozy Quarters,Private room,80,5,89
Private Entry w/ Calif OrangeTrees,Private room,70,5,72
Lovely Private Garden Cottage,Entire home/apt,165,2,135
Comfortable Palo Alto home,Entire home/apt,176,1,42
Little room in a little house/LOL. Littleoldlady,Private room,125,2,57
Silicon Valley Victorian,Entire home/apt,318,14,10
COZY ROOM IN FAMILY HOME,Private room,60,30,48
SanJose/Campbell/Interns & Travelers Welcome (MBR),Private room,39,14,27
Serene Suite in a Grand Villa~Exceptional Privacy.,Private room,89,30,41
Spacious Sunny Room in Sweet Home,Private room,90,2,36
Warm Private room w private entry,Private room,70,4,20
Room @ the Heart of Silicon Valley,Private room,53,4,47
Quiet room in clean San Jose house,Private room,200,1,0
First Responders Entire House@ Palo Alto,Entire home/apt,400,30,1
Priv Ent  Studio  prv bath/long term/pets OK,Private room,65,7,11
A RARE CLASSIC IN DOWNTOWN SAN JOSE,Entire home/apt,325,3,10
SanJose-Interns/Transplants -Short term room (CBR),Private room,39,8,24
Ideal for Silicon Valley Tech visit,Entire home/apt,114,3,17
Spacious and bright master suite in Los Altos.,Private room,98,2,62
Comfy  Cozy & Affordable 1-San Jose,Private room,55,5,146
Delightful Private Room@Palo Alto,Private room,70,5,101
Travelers/Interns Welcome-Short/Mid term (Atr),Private room,39,14,23
Downtown Los Gatos Town Living,Private room,89,30,16
HackerHome - Santa Clara: shared room,Shared room,50,2,30
HackerHome - Santa Clara: bunk 1,Shared room,49,30,44
HackerHome - Santa Clara: shared room,Shared room,50,5,46
HackerHome - Santa Clara: private,Private room,55,10,30
Walk Dwtwn  organic home comfortable queen bed,Private room,80,1,138
Walk Dwntwn queen bed Organic Home,Private room,85,1,395
HackerHome - Santa Clara: shared room,Shared room,40,5,16
HackerHome - Santa Clara: private room,Private room,70,3,27
Santa Clara  CA   Stays - Private Bed & Bath,Private room,60,1,334
HackerHome - Santa Clara: private room,Private room,65,4,17
Ideally located Executive Palo Alto Home!,Entire home/apt,1000,4,8
Single Family House  4 Bedrooms  2 Full Bathrooms,Private room,133,365,20
Cozy Sunnyvale Condo with in-unit washer & dryer,Entire home/apt,94,60,6
300 Meters from old Apple HQ  2  Miles from New,Private room,65,2,86
Downstairs apartment in downtown SJ,Entire home/apt,99,1,172
Private Room with bath in Palo Alto,Private room,89,7,102
Mason Guesthome Best Location Mt Vw,Private room,80,1,44
Little Paradise 2BR Suite Sauna Garden Terrace,Entire home/apt,225,5,111
Mozart  Luxurious Master Room,Private room,58,30,39
bedroom near downtown Palo Alto,Private room,160,2,175
Vintage comfort in Palo Alto,Private room,89,1,83
Downtown Mtn View Private Home with Hot Tub,Entire home/apt,795,1,25
Charming 1BR 5min. to Gbus,Entire home/apt,115,31,6
Palo Alto Cottage,Entire home/apt,200,2,233
Private Room - Near Apple New Campus,Private room,42,14,11
Silicon Valley - Private Quiet:),Private room,78,2,43
Petite Maison,Private room,150,1,0
