name,room_type,price,minimum_nights,number_of_reviews
Airstream by the creek,Private room,70,1,1
Sunny room close to beach and parks,Private room,70,2,54
Room with Private Entrance.,Private room,100,2,475
Dog Friendly Private Pleasure Point Beach Cottage,Entire home/apt,191,4,208
Guest bedroom in Victorian home,Private room,86,2,445
Strict 30 night minimum! Small room w shared bath.,Private room,75,30,209
Sunny in nature quiet location,Entire home/apt,155,10,1
Cottage on the Creek - Private Access to Creek!,Entire home/apt,172,1,533
Santa Cruz Mtns. Dragonfly Cottage,Entire home/apt,172,1,426
Redwood Treehouse Santa Cruz Mtns.,Entire home/apt,155,1,737
30 night min/Guest Cottage/Small room/Shared Bath,Private room,60,30,5
Apple Orchard Cottage,Entire home/apt,125,2,310
Harbor Studio Near Beach Boardwalk,Entire home/apt,137,1,452
Charming Cottage Very Near Beach,Entire home/apt,128,2,414
Sunny  Spacious  and Modern Home Near The Beach,Entire home/apt,728,2,202
Victorian Farm Guest Cottage- Sleeps up to 6,Entire home/apt,202,1,94
Santa Cruz  Sanctuary w/ hot tub in bamboo garden,Entire home/apt,321,1,313
Walk to everything!  Surf Colony Modern Surf Shack,Entire home/apt,266,3,115
Cozy  modern 3 BR cottage by beach,Entire home/apt,326,2,201
Cottage Nestled in the Redwoods,Entire home/apt,189,2,357
Ridge Top Get-A-Way,Private room,145,2,81
10 MINUTES NORTH OF SANTA CRUZ,Entire home/apt,150,7,348
Private Room/Studio Near Beach & Forest. Own entry,Private room,80,1,345
Santa Cruz Private Bedroom and Bath,Private room,149,30,62
Beautiful Santa Cruz Craftsman  3 bedroom+/2 Bath,Entire home/apt,779,30,28
Bali-by-the-Beach...time for you!,Entire home/apt,314,3,68
Opal Cliff Beach House-Ocean View-19 YEARS,Entire home/apt,495,1,103
cabin overlooking Soquel Creek,Entire home/apt,421,1,88
Secluded Santa Cruz Beach Hideaway,Entire home/apt,180,2,364
Relaxing Ocean View,Entire home/apt,306,4,139
The Coop,Entire home/apt,257,4,89
Capitola Beach House  on River.    TRO 16-046,Entire home/apt,250,2,185
Santa Cruz / Soquel pool ocean view,Entire home/apt,495,2,149
Steamer Lane -- Ocean View Supreme,Entire home/apt,600,3,20
Sweet Market Street Farm House,Entire home/apt,450,2,78
Private Cottage Overlooking Creek,Entire home/apt,104,2,358
Zen Eco Cottage Near The Beach,Entire home/apt,250,3,30
Country living near the sea!,Entire home/apt,225,3,37
The Perfect Little Retreat In SC,Entire home/apt,220,2,88
A Calm Getaway Voss Gardens of Delight Room A,Private room,55,1,192
Hidden Gem Close to Downtown  Beach and Boardwalk,Entire home/apt,190,31,69
Santa Cruz Beach & Hike Launch Pad,Entire home/apt,80,15,40
Victorian Beach House Santa Cruz,Entire home/apt,311,2,76
Estate Guest House on Vineyard,Entire home/apt,265,2,224
Quiet and Serene in Santa Cruz!,Entire home/apt,200,3,56
Cozy bed + bath with ocean view,Private room,108,2,61
SPECTACULAR OCEAN VIEW!-PLEASURE POINT SURF HOUSE,Entire home/apt,406,2,168
Walker's Paradise Downtown Victorian Guest House,Private room,81,7,16
Victorian Treasure Downtown  Walk to Everything.,Private room,81,7,10
Seacliff bungalow - 2 bedroom  1 bath house.,Entire home/apt,200,1,40
