name,room_type,price,minimum_nights,number_of_reviews
Cozy Artist’s Abode  ENTIRE Home-Wifi NetFlix +,Entire home/apt,90,1,245
Charming  1 or 2BR + private bath  near downtown,Private room,49,2,166
Parks  Lakes  Downtown  Light rail,Private room,50,2,175
Minneapolis/Edina  Cabin  on Creek,Entire home/apt,160,7,34
Attic Loft with organic breakfast,Entire home/apt,65,3,20
Guest Room,Private room,186,1,0
Rest and Rehearsal Space,Private room,50,2,20
Two rooms and bath - centrally located,Private room,85,2,72
Victory Memorial Pkwy Tudor home close to downtown,Private room,125,2,44
Private Bedroom  Walk to Saint Paul Campus!,Private room,75,2,21
Powderhorn home - sleeps four,Entire home/apt,60,2,24
Victorian on transit line. Your own private floor.,Private room,55,1,170
S&J#06~Studio JetTub&MOA! 11%off Aug/Sep,Entire home/apt,105,2,12
The Manor Master Chamber,Private room,78,1,252
Sweet and charming Uptown Minneapolis apartment!,Entire home/apt,75,5,163
Arts & Crafts condo with amenities,Private room,60,3,61
S&J#15U~3BR Walk to all! 33% Off Jan-Mar,Entire home/apt,229,2,35
S&J#19~5BR3ba VALUE! Blaine 2NE!11%offJuly/Aug,Entire home/apt,466,2,0
Linden Hills 4-BR/3-bath home,Entire home/apt,275,2,224
COZY RETREAT |  bright + comfortable + relaxing,Entire home/apt,127,2,78
BEAUTIFUL LAKE HARRIET CONDO #106,Entire home/apt,55,30,1
Balcony View of Minnehaha Creek,Private room,125,2,7
Beautiful Bedroom in Upscale Home,Private room,40,365,25
Finca en La Ciudad Farm in the City,Private room,45,2,158
Charlie Chaplin at The Outing Lodge,Private room,113,3,1
Albert Einstein at The Outing Lodge,Private room,113,3,0
2 BR Condo near lakes Uptown East Isles Lowry Hill,Entire home/apt,58,60,1
The Berg House-Elegant City Living,Entire home/apt,170,2,49
Beautiful House rental,Private room,40,1,68
Linden Hills Guest Home,Entire home/apt,159,2,70
Beautiful Urban Garden Walkout,Entire home/apt,140,2,261
Summer Cabin -- Winter Ski Chalet,Entire home/apt,124,30,54
S&J#29Z-12BR4ba5BuslinesDTownNEUniv,Entire home/apt,789,2,0
Wayzata Lakefront Estate 15mins from downtown MN.,Entire home/apt,799,3,33
Modern Downtown St. Paul Loft,Entire home/apt,99,120,13
Our Studio,Entire home/apt,75,2,107
Rest & Play-Whole Bear House,Entire home/apt,192,2,14
Momma Bear Room,Private room,95,2,10
Papa Bear Room,Private room,87,2,17
4 bedroom/10 minutes to all the hotspots!,Entire home/apt,149,1,96
Urban Retreat-Near UofM + Downtown,Private room,75,1,99
Bungalow by the Lakes Fulton,Entire home/apt,250,2,20
Private room in Shakopee,Private room,350,1,0
Dreamy Chic Apartment,Entire home/apt,85,6,109
Uptown Brownstone with Parking,Entire home/apt,153,2,32
2 Bedroom Urban Nest Brownstone,Entire home/apt,155,3,25
Charming Condo Brownstone 2 Bedroom,Entire home/apt,151,3,18
Contemporary Urban Condo 1 Bedroom,Entire home/apt,135,3,21
Arts/Crafts house near Lake Harriet,Private room,75,2,37
S&J#14E~3+BR Uptown Downtown MOA! 11%off Aug/Sep,Entire home/apt,223,2,7
Minutes from Uptown and Downtown Mpls,Private room,55,3,16
Lovely 3BD Near Parks & Downtown,Entire home/apt,119,1,133
9 Miles to US Bank Stadium (Super Bowl Location :),Entire home/apt,300,3,29
Minneapolis Home Near US Bank Stadium & River,Entire home/apt,1450,3,1
Pvt 2-bed apartment close to downtown!,Private room,75,2,165
Sunny Studio just south of downtown,Private room,65,2,103
Uptown - North Woods Vibes in the ❤ of MPLS,Entire home/apt,85,1,168
Ritz-Like Serenity On Lake Calhoun!,Entire home/apt,229,5,12
10min from MoA  free parking  quiet,Private room,100,1,0
A warm  homey place to rest,Private room,90,1,0
3BR Downtown Mansion District Suite,Entire home/apt,149,1,36
Bedroom Suite  Walk to U. of MN  Saint Paul Campus,Private room,85,2,17
Private Bedroom   walk to Campus!,Private room,75,2,33
Garden Level Private Bedroom Suite,Private room,100,2,206
Central to Everything!,Private room,42,2,57
Let me tell you a little more....,Private room,92,2,63
Cozy room,Private room,45,1,0
Beautiful lake home on Mille Lacs,Entire home/apt,271,3,108
Metro Oasis  LGBT  baby pack-N-play,Private room,75,1,19
Appealing Midtown Apartment 2 BR,Entire home/apt,133,3,18
3 bedrooms in Linden Hills,Private room,95,2,1
Modern/Comfortable TH in North Loop,Private room,80,2,10
Seward Home Near Mississippi,Private room,42,1,96
Lower Level Garden Apartment,Entire home/apt,100,2,161
Beautiful Private 3rd Floor Apt.,Entire home/apt,120,3,112
Convenient St. Paul location near Colleges,Private room,78,1,126
