name,room_type,price,minimum_nights,number_of_reviews
Vita's Hideaway,Private room,55,2,73
Historic Rowhouse Near Monuments,Private room,80,27,429
Bedroom in DC 2 blocks to Metro,Private room,75,28,45
Bertina's  House Part One,Private room,54,30,102
DC  Near Metro,Private room,99,2,31
Cozy apt in Adams Morgan,Entire home/apt,63,14,95
Best of Washington - Great neighborhood  parking,Entire home/apt,99,3,90
Adams Morgan Charm,Private room,42,2,112
Sophisticated Logan Circle Loft,Entire home/apt,185,2,154
Sanctuary near Cathedral,Entire home/apt,100,1,391
Peaches & Cream near Cathedral,Private room,69,1,94
Heart of the City -HalfBlock to METRO  Restaurants,Entire home/apt,100,30,25
Quiet Comfort near Nat'l Cathedral,Private room,69,1,100
Capitol Hill Guest Suite,Entire home/apt,85,60,171
The Loft near National Cathedral,Private room,69,1,82
Embassy Row /Glover Park,Private room,51,3,121
Elegant Logan Circle Loft Share,Shared room,90,2,97
The Smithsonian Vacation House,Entire home/apt,379,1,24
Beautiful Cozy Full  Bed Room,Private room,41,28,9
Capitol Hill H Street 1BR Apt :),Entire home/apt,645,3,15
American Guest House - Room 301,Private room,259,1,15
Downtown DC Private Carriage House,Entire home/apt,102,2,600
Luxury DC Apt. Downtown  Logan Circle  14th Street,Entire home/apt,195,3,154
Nice looking large room on Rhodeisland avenue  nw,Private room,35,28,8
Charming B & B in Columbia Heights,Entire home/apt,99,6,155
Modern Charm,Entire home/apt,138,4,167
Room for 2 with private bathroom,Private room,66,1,35
DC  Near Metro III,Private room,99,2,10
DC  Near Metro II,Private room,99,2,10
Upscale Master Close to Everything,Private room,80,3,101
Heart of D.C. near Union Station!!,Entire home/apt,140,2,13
Upscale Private Close to Everything,Private room,67,10,80
Modern Townhouse with Large Backyard!,Entire home/apt,150,2,7
Sunny Happy Home  Walk to Metro,Entire home/apt,188,3,9
Luraloft / Entire Apt,Entire home/apt,80,5,104
Great apartment in perfect location,Entire home/apt,135,3,29
Guest Room 3 miles to the White House,Private room,48,30,35
~Guest Room: Coffee  Croissants & Comfort,Private room,62,3,130
Dupont room; TemPurpedic bed  3 min 2 metro,Private room,309,30,2
X-tra large suite;3 min Wlk 2 Metro,Private room,99,30,10
Historic Rowhouse Near Monuments 2,Private room,80,27,195
Historic American Four Square,Private room,75,2,38
Entire 1BR Capitol Hill Apartment!,Entire home/apt,130,4,124
Spare Room for Washington DC Visit or entire house,Private room,399,1,0
Dupont Circle  Stunning Apt,Entire home/apt,80,60,7
Takoma Garden apt-Lush yard pets ok,Entire home/apt,125,2,6
Large room in central location,Private room,45,1,132
Victorian Haven - Private Basement!,Entire home/apt,90,1,173
Modern home NW DC steps from bus,Entire home/apt,199,4,13
xtra-large suite in Dupont-- 3 min walk to metro,Private room,269,30,5
ROOM FOR RENT IN A NICE AREA OF DC,Private room,70,2,6
Private  Retreat. Apartment in DC,Entire home/apt,109,1,122
LUXURY LIVING AT A BARGAIN,Private room,70,2,1
NICE HOUSE IN A VERY NICE NEIGHBORHOOD,Private room,70,2,5
LUXURY LIVING AT A BARGAIN,Private room,70,2,8
Private Bath  Metro  Capitol@3miles,Private room,70,5,8
Guest bedroom and private bath.,Private room,58,30,32
Private Suite in Capitol Hill Home,Private room,88,2,711
Entire Two Floor Carriage House,Entire home/apt,99,10,70
Boutique penthouse near everything,Entire home/apt,168,1,70
Cozy Rowhouse Near Logan Circle,Entire home/apt,161,2,134
Charming Dupont English Basement,Entire home/apt,149,3,59
Lovely One Bedrm w/Old World Charm,Entire home/apt,100,3,0
Spacious  Sunny Garden Apt 1 Bdrm+d,Entire home/apt,125,14,10
Red Room - Washington 1-2/p Bedroom near Metro,Private room,85,1,19
Modern Private English Unit  Great Location,Entire home/apt,65,2,173
Hb baño privado 3mi Capitol y metro,Private room,70,5,2
Dupont Apt w/character;3-min walk metro!,Entire home/apt,325,30,15
Blue Room - Washington 1-2p Bedroom Near Metro,Private room,80,1,7
Penn Quarter Studio Apartment,Entire home/apt,155,100,15
